"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PADRE ABAD (000)",20103,16558,1358,805,1382
"Hombres (001)",15230,12413,1033,598,1186
"Mujeres (002)",4873,4145,325,207,196
"De 06 a 14 años (003)",662,622,33,6,1
"Hombres (004)",474,440,28,5,1
"Mujeres (005)",188,182,5,1,
"De 15 a 29 años (006)",7441,6086,593,277,485
"Hombres (007)",5617,4557,456,209,395
"Mujeres (008)",1824,1529,137,68,90
"De 30 a 44 años (009)",7202,5710,483,381,628
"Hombres (010)",5351,4187,353,270,541
"Mujeres (011)",1851,1523,130,111,87
"De 45 a 64 años (012)",4072,3459,223,132,258
"Hombres (013)",3181,2657,177,107,240
"Mujeres (014)",891,802,46,25,18
"De 65 y más años (015)",726,681,26,9,10
"Hombres (016)",607,572,19,7,9
"Mujeres (017)",119,109,7,2,1
,,,,,
"URBANA (018)",10691,7641,971,748,1331
"Hombres (019)",7680,5258,722,553,1147
"Mujeres (020)",3011,2383,249,195,184
"De 06 a 14 años (021)",279,246,26,6,1
"Hombres (022)",182,154,22,5,1
"Mujeres (023)",97,92,4,1,
"De 15 a 29 años (024)",3899,2750,421,258,470
"Hombres (025)",2790,1891,321,194,384
"Mujeres (026)",1109,859,100,64,86
"De 30 a 44 años (027)",4154,2838,362,354,600
"Hombres (028)",2899,1875,256,249,519
"Mujeres (029)",1255,963,106,105,81
"De 45 a 64 años (030)",2076,1551,151,122,252
"Hombres (031)",1579,1130,115,99,235
"Mujeres (032)",497,421,36,23,17
"De 65 y más años (033)",283,256,11,8,8
"Hombres (034)",230,208,8,6,8
"Mujeres (035)",53,48,3,2,
,,,,,
"RURAL (036)",9412,8917,387,57,51
"Hombres (037)",7550,7155,311,45,39
"Mujeres (038)",1862,1762,76,12,12
"De 06 a 14 años (039)",383,376,7,,
"Hombres (040)",292,286,6,,
"Mujeres (041)",91,90,1,,
"De 15 a 29 años (042)",3542,3336,172,19,15
"Hombres (043)",2827,2666,135,15,11
"Mujeres (044)",715,670,37,4,4
"De 30 a 44 años (045)",3048,2872,121,27,28
"Hombres (046)",2452,2312,97,21,22
"Mujeres (047)",596,560,24,6,6
"De 45 a 64 años (048)",1996,1908,72,10,6
"Hombres (049)",1602,1527,62,8,5
"Mujeres (050)",394,381,10,2,1
"De 65 y más años (051)",443,425,15,1,2
"Hombres (052)",377,364,11,1,1
"Mujeres (053)",66,61,4,,1
