"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1707,,11,20,7,1177,,196,18,278,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",246,,3,6,,51,,171,7,8,,
"Comercio al por mayor (075)",85,,2,2,1,70,,1,1,8,,
"Comercio al por menor (076)",1376,,6,12,6,1056,,24,10,262,,
"Hoteles y restaurantes (077)",647,,3,22,12,409,,,,201,,
"Trans., almac. y comunicaciones (078)",913,,3,8,17,1,,3,789,92,,
"Intermediación financiera (079)",11,,1,2,8,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",306,,74,67,66,47,,2,16,34,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",555,14,19,18,141,22,,8,23,78,232,
"Enseñanza (082)",447,3,435,1,5,,,,,3,,
"Servicios sociales y de salud (083)",114,,45,43,7,3,,,,16,,
"Otras activ. serv.comun.soc y personales (084)",179,,10,27,10,31,,1,1,99,,
"Hogares privados con servicio doméstico (085)",236,,,,,,,,,236,,
"Actividad economica no especificada (087)",482,,1,7,34,,,,,2,,438
"Hombres (088)",7558,13,364,255,198,715,1778,810,1334,1564,231,296
"Agric., ganadería, caza y silvicultura (089)",2658,,16,15,2,,1774,2,8,841,,
"Pesca (090)",7,,,,,,4,,,3,,
