"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia JORGE BASADRE (000)",5571,1527,2371,984,178,426,85
"Agric., ganadería, caza y silvicultura (001)",1646,10,510,617,142,367,
"Pesca (002)",22,,4,18,,,
"Explotación de minas y canteras (003)",526,202,316,3,4,1,
"Industrias manufactureras (004)",189,14,92,66,6,11,
"Suministro de electricidad, gas y agua (005)",10,5,5,,,,
"Construcción (006)",342,56,270,14,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",252,32,70,126,6,18,
"Venta, mant.y rep. veh.autom.y motoc. (008)",98,15,69,8,2,4,
"Comercio al por mayor (009)",8,2,,6,,,
"Comercio al por menor (010)",146,15,1,112,4,14,
"Hoteles y restaurantes (011)",184,63,29,65,11,16,
"Trans., almac. y comunicaciones (012)",138,46,65,23,1,3,
"Intermediación financiera (013)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (014)",138,89,38,10,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1633,706,927,,,,
"Enseñanza (016)",142,127,1,13,,1,
"Servicios sociales y de salud (017)",93,78,6,9,,,
"Otras activ. serv.comun.soc y personales (018)",41,23,5,11,2,,
"Hogares privados con servicio doméstico (019)",85,,,,,,85
"Actividad economica no especificada (021)",123,69,33,9,3,9,
"Hombres (022)",4053,1095,2070,593,128,159,8
"Agric., ganadería, caza y silvicultura (023)",1017,9,339,429,104,136,
"Pesca (024)",21,,3,18,,,
"Explotación de minas y canteras (025)",502,181,313,3,4,1,
"Industrias manufactureras (026)",146,12,87,39,5,3,
"Suministro de electricidad, gas y agua (027)",10,5,5,,,,
"Construcción (028)",328,50,263,13,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",136,21,69,32,5,9,
"Venta, mant.y rep. veh.autom.y motoc. (030)",96,15,68,8,2,3,
"Comercio al por mayor (031)",2,1,,1,,,
"Comercio al por menor (032)",38,5,1,23,3,6,
"Hoteles y restaurantes (033)",73,37,18,8,5,5,
"Trans., almac. y comunicaciones (034)",123,32,65,22,1,3,
"Intermediación financiera (035)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (036)",101,58,35,7,1,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1389,545,844,,,,
"Enseñanza (038)",50,46,,4,,,
"Servicios sociales y de salud (039)",43,36,1,6,,,
"Otras activ. serv.comun.soc y personales (040)",24,12,4,8,,,
"Hogares privados con servicio doméstico (041)",8,,,,,,8
"Actividad economica no especificada (043)",80,49,24,4,1,2,
"Mujeres (044)",1518,432,301,391,50,267,77
"Agric., ganadería, caza y silvicultura (045)",629,1,171,188,38,231,
"Pesca (046)",1,,1,,,,
"Explotación de minas y canteras (047)",24,21,3,,,,
"Industrias manufactureras (048)",43,2,5,27,1,8,
"Construcción (050)",14,6,7,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",116,11,1,94,1,9,
"Venta, mant.y rep. veh.autom.y motoc. (052)",2,,1,,,1,
"Comercio al por mayor (053)",6,1,,5,,,
"Comercio al por menor (054)",108,10,,89,1,8,
"Hoteles y restaurantes (055)",111,26,11,57,6,11,
"Trans., almac. y comunicaciones (056)",15,14,,1,,,
"Intermediación financiera (057)",5,5,,,,,
"Activid.inmobil., empres. y alquileres (058)",37,31,3,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",244,161,83,,,,
"Enseñanza (060)",92,81,1,9,,1,
"Servicios sociales y de salud (061)",50,42,5,3,,,
"Otras activ. serv.comun.soc y personales (062)",17,11,1,3,2,,
"Hogares privados con servicio doméstico (063)",77,,,,,,77
"Actividad economica no especificada (065)",43,20,9,5,2,7,
,,,,,,,
"URBANA (066)",3363,1264,1488,384,37,113,77
"Agric., ganadería, caza y silvicultura (067)",438,4,171,163,12,88,
"Pesca (068)",2,,2,,,,
"Explotación de minas y canteras (069)",525,202,315,3,4,1,
"Industrias manufactureras (070)",119,13,73,29,4,,
"Suministro de electricidad, gas y agua (071)",7,3,4,,,,
"Construcción (072)",259,43,204,11,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",179,25,67,78,2,7,
"Venta, mant.y rep. veh.autom.y motoc. (074)",85,13,66,5,,1,
"Comercio al por mayor (075)",6,2,,4,,,
"Comercio al por menor (076)",88,10,1,69,2,6,
"Hoteles y restaurantes (077)",144,55,24,47,8,10,
"Trans., almac. y comunicaciones (078)",104,36,55,10,1,2,
"Intermediación financiera (079)",6,6,,,,,
"Activid.inmobil., empres. y alquileres (080)",116,80,27,8,1,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1059,542,517,,,,
"Enseñanza (082)",121,108,1,12,,,
"Servicios sociales y de salud (083)",79,70,3,6,,,
"Otras activ. serv.comun.soc y personales (084)",36,20,5,9,2,,
"Hogares privados con servicio doméstico (085)",77,,,,,,77
"Actividad economica no especificada (087)",92,57,20,8,2,5,
"Hombres (088)",2552,936,1358,190,25,39,4
"Agric., ganadería, caza y silvicultura (089)",253,4,108,108,8,25,
"Pesca (090)",1,,1,,,,
"Explotación de minas y canteras (091)",501,181,312,3,4,1,
"Industrias manufactureras (092)",102,11,72,16,3,,
"Suministro de electricidad, gas y agua (093)",7,3,4,,,,
"Construcción (094)",248,37,199,11,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",111,19,66,19,1,6,
"Venta, mant.y rep. veh.autom.y motoc. (096)",84,13,65,5,,1,
"Comercio al por mayor (097)",1,1,,,,,
"Comercio al por menor (098)",26,5,1,14,1,5,
"Hoteles y restaurantes (099)",63,36,17,1,5,4,
"Trans., almac. y comunicaciones (100)",90,23,55,9,1,2,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",82,52,24,5,1,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",918,437,481,,,,
"Enseñanza (104)",46,42,,4,,,
"Servicios sociales y de salud (105)",39,35,1,3,,,
"Otras activ. serv.comun.soc y personales (106)",22,10,4,8,,,
"Hogares privados con servicio doméstico (107)",4,,,,,,4
"Actividad economica no especificada (109)",63,44,14,3,1,1,
"Mujeres (110)",811,328,130,194,12,74,73
"Agric., ganadería, caza y silvicultura (111)",185,,63,55,4,63,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",24,21,3,,,,
"Industrias manufactureras (114)",17,2,1,13,1,,
"Construcción (116)",11,6,5,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",68,6,1,59,1,1,
"Venta, mant.y rep. veh.autom.y motoc. (118)",1,,1,,,,
"Comercio al por mayor (119)",5,1,,4,,,
"Comercio al por menor (120)",62,5,,55,1,1,
"Hoteles y restaurantes (121)",81,19,7,46,3,6,
"Trans., almac. y comunicaciones (122)",14,13,,1,,,
"Intermediación financiera (123)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (124)",34,28,3,3,,,
