"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",328463,8212,108244,93557,62128,42975,13347
"Casa independiente (001)",297160,7260,97457,84559,56293,39305,12286
"Departamento en edificio (002)",1311,31,305,383,363,194,35
"Vivienda en quinta (003)",7464,220,2012,2444,1699,907,182
"Vivienda en casa de vecindad (004)",1951,41,609,602,416,211,72
"Choza o cabaña (005)",17128,538,6622,4577,2717,1997,677
"Vivienda improvisada (006)",3049,113,1113,871,564,306,82
"Local no destinado para hab.humana (007)",281,6,82,89,53,41,10
"Otro tipo (008)",119,3,44,32,23,14,3
,,,,,,,
"URBANA (009)",277747,6757,88683,80247,53859,36862,11339
"Casa independiente (010)",263644,6346,84551,75842,50752,35195,10958
"Departamento en edificio (011)",1311,31,305,383,363,194,35
"Vivienda en quinta (012)",7464,220,2012,2444,1699,907,182
"Vivienda en casa de vecindad (013)",1951,41,609,602,416,211,72
"Vivienda improvisada (015)",3049,113,1113,871,564,306,82
"Local no destinado para hab.humana (016)",266,5,75,85,51,40,10
"Otro tipo (017)",62,1,18,20,14,9,
,,,,,,,
"RURAL (018)",50716,1455,19561,13310,8269,6113,2008
"Casa independiente (019)",33516,914,12906,8717,5541,4110,1328
"Choza o cabaña (023)",17128,538,6622,4577,2717,1997,677
"Local no destinado para hab.humana (025)",15,1,7,4,2,1,
"Otro tipo (026)",57,2,26,12,9,5,3
