"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANUCO (000)",102205,97778,33125,14211,12838,9529,12499,7745,4491,3340,4427,248837
"De 12 a 14 años (001)",10185,10127,10088,33,6,,,,,,58,45
"De 15 a 19 años (002)",14799,14608,12921,1475,178,24,10,,,,191,1943
"De 20 a 24 años (003)",13351,11732,5586,4028,1577,410,108,23,,,1619,9010
"De 25 a 29 años (004)",10952,9674,1903,3184,2581,1256,674,61,15,,1278,15482
"De 30 a 34 años (005)",9490,8988,852,2044,2497,1702,1484,337,60,12,502,21344
"De 35 a 39 años (006)",8922,8669,461,1158,2081,1725,2036,870,270,68,253,27990
"De 40 a 44 años (007)",7590,7442,323,676,1332,1349,1990,1064,478,230,148,29523
"De 45 a 49 años (008)",6472,6365,210,462,867,986,1673,1103,671,393,107,29651
"De 50 y más años (009)",20444,20173,781,1151,1719,2077,4524,4287,2997,2637,271,113849
"Conviviente (010)",26869,26367,1988,6742,5793,3775,4402,2119,993,555,502,77077
"De 12 a 14 años (011)",102,52,35,14,3,,,,,,50,20
"De 15 a 19 años (012)",1799,1659,559,947,134,15,4,,,,140,1276
"De 20 a 24 años (013)",4864,4731,661,2489,1162,319,86,14,,,133,6214
"De 25 a 29 años (014)",5080,4999,318,1681,1642,838,470,42,8,,81,9807
"De 30 a 34 años (015)",4464,4427,144,861,1302,990,900,196,30,4,37,11860
"De 35 a 39 años (016)",3721,3700,86,344,814,756,1058,474,140,28,21,13401
"De 40 a 44 años (017)",2511,2500,54,156,367,425,789,439,177,93,11,10982
"De 45 a 49 años (018)",1756,1752,47,98,182,220,504,365,224,112,4,8846
"De 50 y más años (019)",2572,2547,84,152,187,212,591,589,414,318,25,14671
"Separado(a) (020)",6017,5918,101,1821,1316,859,1006,473,217,125,99,17690
