"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",4072,13822,12224,,161,88.4,1.2
"De 12 a 14 años (001)",372,3,3,,,100,
"De 15 a 19 años (002)",400,68,66,18,97.1,26.5,
"De 20 a 24 años (003)",351,353,346,44,98,12.5,
"De 25 a 29 años (004)",346,607,573,36,94.4,5.9,
"De 30 a 34 años (005)",309,765,734,24,95.9,3.1,
"De 35 a 39 años (006)",323,1088,1040,21,95.6,1.9,
"De 40 a 44 años (007)",327,1390,1323,15,95.2,1.1,
"De 45 a 49 años (008)",255,1354,1234,3,91.1,0.2,
"De 50 y más años (009)",1389,8194,6905,,84.3,,
"Conviviente (010)",965,2910,2723,92,93.6,3.2,
"De 12 a 14 años (011)",4,1,1,,100,,
"De 15 a 19 años (012)",48,33,32,9,97,27.3,
"De 20 a 24 años (013)",165,212,207,30,97.6,14.2,
"De 25 a 29 años (014)",182,360,347,27,96.4,7.5,
"De 30 a 34 años (015)",148,388,374,11,96.4,2.8,
"De 35 a 39 años (016)",135,450,432,7,96,1.6,
"De 40 a 44 años (017)",90,392,374,7,95.4,1.8,
"De 45 a 49 años (018)",61,339,313,1,92.3,0.3,
"De 50 y más años (019)",132,735,643,,87.5,,
"Separado(a) (020)",153,630,553,1,87.8,0.2,
"De 15 a 19 años (022)",4,4,4,1,100,25,
"De 20 a 24 años (023)",7,13,13,,100,,
"De 25 a 29 años (024)",7,11,9,,81.8,,
"De 30 a 34 años (025)",16,53,51,,96.2,,
"De 35 a 39 años (026)",16,56,53,,94.6,,
"De 40 a 44 años (027)",18,57,52,,91.2,,
"De 45 a 49 años (028)",18,89,74,,83.1,,
"De 50 y más años (029)",67,347,297,,85.6,,
"Casado(a) (030)",1301,7039,6219,40,88.4,0.6,
"De 15 a 19 años (032)",5,7,6,1,85.7,14.3,
"De 20 a 24 años (033)",30,52,51,4,98.1,7.7,
"De 25 a 29 años (034)",59,150,134,6,89.3,4,
"De 30 a 34 años (035)",78,249,236,8,94.8,3.2,
"De 35 a 39 años (036)",135,532,506,14,95.1,2.6,
"De 40 a 44 años (037)",172,812,776,5,95.6,0.6,
"De 45 a 49 años (038)",131,748,679,2,90.8,0.3,
"De 50 y más años (039)",691,4489,3831,,85.3,,
"Viudo(a) (040)",419,2628,2142,1,81.5,,
