"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AREQUIPA (000)",854493,13280,205892,246695,185012,140723,62891
"Casa independiente (001)",796542,12317,192560,229570,171844,131056,59195
"Departamento en edificio (002)",27236,416,5610,7755,6470,5132,1853
"Vivienda en quinta (003)",13069,220,3111,3880,2899,2061,898
"Vivienda en casa de vecindad (004)",12429,232,3211,4068,2674,1609,635
"Choza o cabaña (005)",1944,23,498,442,396,400,185
"Vivienda improvisada (006)",2133,49,652,614,463,269,86
"Local no destinado para hab.humana (007)",985,20,216,319,228,169,33
"Otro tipo (008)",155,3,34,47,38,27,6
,,,,,,,
"URBANA (009)",833685,12926,200359,241395,180851,137138,61016
"Casa independiente (010)",777704,11986,187533,224721,168084,127875,57505
"Departamento en edificio (011)",27236,416,5610,7755,6470,5132,1853
"Vivienda en quinta (012)",13069,220,3111,3880,2899,2061,898
"Vivienda en casa de vecindad (013)",12429,232,3211,4068,2674,1609,635
"Vivienda improvisada (015)",2133,49,652,614,463,269,86
"Local no destinado para hab.humana (016)",972,20,212,316,226,165,33
"Otro tipo (017)",142,3,30,41,35,27,6
,,,,,,,
"RURAL (018)",20808,354,5533,5300,4161,3585,1875
"Casa independiente (019)",18838,331,5027,4849,3760,3181,1690
"Choza o cabaña (023)",1944,23,498,442,396,400,185
"Local no destinado para hab.humana (025)",13,,4,3,2,4,
"Otro tipo (026)",13,,4,6,3,,
