"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANTA CRUZ (000)",16197,50929,46110,,666,90.5,1.3
"De 12 a 14 años (001)",1753,12,11,,,91.7,
"De 15 a 19 años (002)",1864,265,261,81,98.5,30.6,
"De 20 a 24 años (003)",1496,1301,1271,149,97.7,11.5,
"De 25 a 29 años (004)",1361,2275,2224,144,97.8,6.3,
"De 30 a 34 años (005)",1416,3459,3372,145,97.5,4.2,
"De 35 a 39 años (006)",1490,4671,4493,90,96.2,1.9,
"De 40 a 44 años (007)",1220,4665,4441,49,95.2,1.1,
"De 45 a 49 años (008)",1090,5045,4779,8,94.7,0.2,
"De 50 y más años (009)",4507,29236,25258,,86.4,,
"PEA (010)",2342,6368,5897,89,92.6,1.4,
"De 12 a 14 años (011)",19,1,1,,100,,
"De 15 a 19 años (012)",163,24,24,9,100,37.5,
"De 20 a 24 años (013)",248,159,154,12,96.9,7.5,
"De 25 a 29 años (014)",243,294,285,26,96.9,8.8,
"De 30 a 34 años (015)",269,506,498,16,98.4,3.2,
"De 35 a 39 años (016)",376,903,870,18,96.3,2,
"De 40 a 44 años (017)",276,804,777,7,96.6,0.9,
"De 45 a 49 años (018)",219,785,744,1,94.8,0.1,
"De 50 y más años (019)",529,2892,2544,,88,,
"Ocupada (020)",2244,6288,5819,86,92.5,1.4,
"De 12 a 14 años (021)",15,1,1,,100,,
"De 15 a 19 años (022)",134,24,24,9,100,37.5,
"De 20 a 24 años (023)",219,150,146,12,97.3,8,
"De 25 a 29 años (024)",229,282,273,24,96.8,8.5,
"De 30 a 34 años (025)",262,497,489,15,98.4,3,
"De 35 a 39 años (026)",372,898,865,18,96.3,2,
"De 40 a 44 años (027)",273,799,772,7,96.6,0.9,
"De 45 a 49 años (028)",215,760,719,1,94.6,0.1,
"De 50 y más años (029)",525,2877,2530,,87.9,,
"Desocupada (030)",98,80,78,3,97.5,3.8,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",29,,,,,,
"De 20 a 24 años (033)",29,9,8,,88.9,,
"De 25 a 29 años (034)",14,12,12,2,100,16.7,
"De 30 a 34 años (035)",7,9,9,1,100,11.1,
"De 35 a 39 años (036)",4,5,5,,100,,
"De 40 a 44 años (037)",3,5,5,,100,,
