"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16334,15813,4656,1939,1764,1580,2354,1565,1001,954,521,50128
"De 12 a 14 años (001)",2099,2071,2048,21,2,,,,,,28,25
"De 15 a 19 años (002)",2928,2786,1864,677,201,35,9,,,,142,1220
"De 20 a 24 años (003)",2314,2171,361,638,633,352,169,18,,,143,3785
"De 25 a 29 años (004)",1946,1846,131,275,417,440,485,86,12,,100,5155
"De 30 a 34 años (005)",1482,1455,62,106,210,276,517,208,62,14,27,5648
"De 35 a 39 años (006)",1362,1340,34,65,125,203,419,322,130,42,22,6403
"De 40 a 44 años (007)",1064,1056,28,35,55,98,278,283,185,94,8,6140
"De 45 a 49 años (008)",878,868,24,31,55,61,162,221,165,149,10,5545
"De 50 y más años (009)",2261,2220,104,91,66,115,315,427,447,655,41,16207
"Conviviente (010)",6975,6729,453,1157,1164,993,1313,771,480,398,246,25840
"De 12 a 14 años (011)",66,39,25,12,2,,,,,,27,16
"De 15 a 19 años (012)",1022,890,208,476,171,27,8,,,,132,931
"De 20 a 24 años (013)",1441,1387,87,402,466,281,135,16,,,54,2845
"De 25 a 29 años (014)",1211,1200,46,149,280,300,348,67,10,,11,3610
"De 30 a 34 años (015)",869,861,30,48,121,177,304,127,45,9,8,3447
"De 35 a 39 años (016)",739,738,12,26,64,106,243,183,79,25,1,3676
"De 40 a 44 años (017)",534,534,14,15,32,44,129,149,99,52,,3182
"De 45 a 49 años (018)",378,377,12,5,13,24,56,97,81,89,1,2692
"De 50 y más años (019)",715,703,19,24,15,34,90,132,166,223,12,5441
"Separado(a) (020)",385,374,4,111,76,48,63,37,19,16,11,1241
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",48,45,1,38,3,2,1,,,,3,54
