"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ACOBAMBA (000)",14895,63458,4686,19014,10209,44444
"Casa independiente (001)",14493,61918,4461,18202,10032,43716
"Vivienda en quinta (003)",171,628,171,628,,
"Vivienda en casa de vecindad (004)",47,163,47,163,,
"Choza o cabaña (005)",171,706,,,171,706
"Vivienda improvisada (006)",5,19,5,19,,
"Local no dest.para hab. humana (007)",6,20,2,2,4,18
"Otro tipo (008)",2,4,,,2,4
