"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARTIN (000)",61011,58660,18017,9351,9566,7279,7260,3593,1975,1619,2351,140297
"De 12 a 14 años (001)",5375,5343,5301,34,8,,,,,,32,50
"De 15 a 19 años (002)",9170,8957,7554,1157,195,43,8,,,,213,1708
"De 20 a 24 años (003)",7753,6875,2905,2490,1116,288,69,7,,,878,5920
"De 25 a 29 años (004)",6538,5906,1057,2073,1639,747,354,30,6,,632,9314
"De 30 a 34 años (005)",5987,5736,458,1368,1881,1107,777,125,19,1,251,12734
"De 35 a 39 años (006)",5843,5710,228,812,1671,1454,1124,314,90,17,133,16314
"De 40 a 44 años (007)",5088,5026,175,520,1256,1221,1208,437,172,37,62,16606
"De 45 a 49 años (008)",3989,3946,121,317,781,950,1008,473,199,97,43,14903
"De 50 y más años (009)",11268,11161,218,580,1019,1469,2712,2207,1489,1467,107,62748
"Conviviente (010)",17842,17316,1628,4703,4177,2614,2495,1002,429,268,526,44852
"De 12 a 14 años (011)",83,56,40,14,2,,,,,,27,18
"De 15 a 19 años (012)",1591,1418,461,777,151,25,4,,,,173,1170
"De 20 a 24 años (013)",3389,3238,536,1607,819,213,57,6,,,151,4160
"De 25 a 29 años (014)",3346,3262,310,1141,1065,482,240,22,2,,84,5880
"De 30 a 34 años (015)",2785,2748,120,576,912,590,463,75,12,,37,6740
"De 35 a 39 años (016)",2321,2294,56,286,593,593,547,165,44,10,27,7160
"De 40 a 44 años (017)",1621,1615,39,139,338,333,483,199,71,13,6,5948
"De 45 a 49 años (018)",1070,1062,29,75,164,206,318,173,69,28,8,4424
"De 50 y más años (019)",1636,1623,37,88,133,172,383,362,231,217,13,9352
"Separado(a) (020)",1975,1923,43,410,484,337,364,162,85,38,52,6179
"De 12 a 14 años (021)",7,4,3,1,,,,,,,3,1
