"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia UTCUBAMBA (000)",35569,1068,12913,11903,7699,1986
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",40,,4,19,16,1
"Profes., científicos e intelectuales (002)",2077,,437,1126,506,8
"Técnicos de nivel medio y trab. asimilados (003)",554,3,220,213,106,12
"Jefes y empleados de oficina (004)",571,,245,212,107,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2796,79,850,1078,661,128
"Agricult. trabaj. calif.agrop. y pesqueros (006)",11475,59,2829,4014,3347,1226
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",983,24,344,339,240,36
"Obreros construc., conf., papel, fab., instr. (008)",2171,11,913,801,416,30
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",14087,892,6788,3727,2178,502
"Otra (010)",355,,119,203,32,1
"Ocupación no especificada (011)",460,,164,171,90,35
"Hombres (012)",28964,846,10523,9396,6417,1782
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",31,,2,13,15,1
"Profes., científicos e intelectuales (014)",1136,,189,594,345,8
"Técnicos de nivel medio y trab. asimilados (015)",342,,126,135,71,10
"Jefes y empleados de oficina (016)",300,,90,123,80,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1321,46,376,481,336,82
"Agricult. trabaj. calif.agrop. y pesqueros (018)",10925,53,2689,3852,3165,1166
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",808,19,293,260,203,33
"Obreros construc., conf., papel, fab., instr. (020)",2141,11,898,789,413,30
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",11473,717,5684,2902,1738,432
"Otra (022)",350,,116,201,32,1
"Ocupación no especificada (023)",137,,60,46,19,12
"Mujeres (024)",6605,222,2390,2507,1282,204
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",9,,2,6,1,
"Profes., científicos e intelectuales (026)",941,,248,532,161,
"Técnicos de nivel medio y trab. asimilados (027)",212,3,94,78,35,2
"Jefes y empleados de oficina (028)",271,,155,89,27,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1475,33,474,597,325,46
"Agricult. trabaj. calif.agrop. y pesqueros (030)",550,6,140,162,182,60
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",175,5,51,79,37,3
"Obreros construc., conf., papel, fab., instr. (032)",30,,15,12,3,
