"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VIRU (000)",30684,2375,73,12104,10901,1614,1670,715,1232
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",21,1,,2,3,1,1,1,12
"Profes., científicos e intelectuales (002)",506,,,,24,43,87,32,320
"Técnicos de nivel medio ytrab.asimilados (003)",805,3,,34,252,135,226,47,108
"Jefes y empleados de oficina (004)",558,,,36,237,60,117,34,74
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2548,207,3,857,929,163,177,87,125
"Agricult.trabaj. calif.agrop. y pesquros (006)",4868,449,8,2379,1469,160,184,87,132
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",3591,145,3,1136,1610,243,247,93,114
"Obreros. construc., conf., papel, fab., instr (008)",1980,80,5,674,893,105,120,45,58
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",14859,1401,52,6631,5158,635,470,253,259
"Otra (010)",21,,,,10,2,6,,3
"Ocupación no especificada (011)",927,89,2,355,316,67,35,36,27
"Hombres (012)",21886,1283,49,8825,8165,1101,1110,520,833
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",16,1,,2,2,,1,1,9
"Profes., científicos e intelectuales (014)",244,,,,7,13,26,18,180
"Técnicos de nivel medio ytrab.asimilados (015)",579,1,,20,198,98,142,39,81
"Jefes y empleados de oficina (016)",354,,,28,174,38,58,17,39
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",987,33,1,317,405,67,61,42,61
"Agricult.trabaj. calif.agrop. y pesquros (018)",4303,353,6,2123,1316,144,160,78,123
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2304,70,1,679,1077,159,173,61,84
"Obreros. construc., conf., papel, fab., instr (020)",1925,71,4,663,868,102,117,45,55
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",10613,727,36,4785,3903,438,348,195,181
"Otra (022)",21,,,,10,2,6,,3
"Ocupación no especificada (023)",540,27,1,208,205,40,18,24,17
"Mujeres (024)",8798,1092,24,3279,2736,513,560,195,399
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",5,,,,1,1,,,3
"Profes., científicos e intelectuales (026)",262,,,,17,30,61,14,140
"Técnicos de nivel medio ytrab.asimilados (027)",226,2,,14,54,37,84,8,27
"Jefes y empleados de oficina (028)",204,,,8,63,22,59,17,35
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1561,174,2,540,524,96,116,45,64
"Agricult.trabaj. calif.agrop. y pesquros (030)",565,96,2,256,153,16,24,9,9
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1287,75,2,457,533,84,74,32,30
"Obreros. construc., conf., papel, fab., instr (032)",55,9,1,11,25,3,3,,3
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",4246,674,16,1846,1255,197,122,58,78
"Ocupación no especificada (035)",387,62,1,147,111,27,17,12,10
,,,,,,,,,
"URBANA (036)",24084,1551,57,8981,9037,1393,1412,620,1033
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",17,,,2,3,,1,1,10
