"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TACNA (000)",86595,77170,9425
"Casa independiente (001)",71975,66188,5787
"Departamento en edificio (002)",2674,2674,
"Vivienda en quinta (003)",437,437,
"Vivienda en casa de vecindad (004)",479,479,
"Choza o cabaña (005)",3618,,3618
"Vivienda improvisada (006)",7243,7243,
"Local no dest.para hab. humana (007)",139,131,8
"Otro tipo (008)",30,18,12
