"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BOLOGNESI (000)",11045,7962,1229,860,994
"Hombres (001)",7990,5465,1029,715,781
"Mujeres (002)",3055,2497,200,145,213
"De 06 a 14 años (003)",146,132,10,3,1
"Hombres (004)",96,84,8,3,1
"Mujeres (005)",50,48,2,,
"De 15 a 29 años (006)",3368,2269,474,292,333
"Hombres (007)",2468,1560,391,257,260
"Mujeres (008)",900,709,83,35,73
"De 30 a 44 años (009)",3846,2488,488,396,474
"Hombres (010)",2782,1690,409,315,368
"Mujeres (011)",1064,798,79,81,106
"De 45 a 64 años (012)",2636,2084,216,155,181
"Hombres (013)",1876,1415,188,126,147
"Mujeres (014)",760,669,28,29,34
"De 65 y más años (015)",1049,989,41,14,5
"Hombres (016)",768,716,33,14,5
"Mujeres (017)",281,273,8,,
,,,,,
"URBANA (018)",6645,4640,766,580,659
"Hombres (019)",4564,3007,625,450,482
"Mujeres (020)",2081,1633,141,130,177
"De 06 a 14 años (021)",81,72,7,1,1
"Hombres (022)",53,45,6,1,1
"Mujeres (023)",28,27,1,,
"De 15 a 29 años (024)",1958,1272,294,200,192
"Hombres (025)",1369,828,238,173,130
"Mujeres (026)",589,444,56,27,62
"De 30 a 44 años (027)",2426,1535,304,264,323
"Hombres (028)",1638,969,243,190,236
"Mujeres (029)",788,566,61,74,87
"De 45 a 64 años (030)",1627,1243,136,110,138
"Hombres (031)",1117,807,119,81,110
"Mujeres (032)",510,436,17,29,28
"De 65 y más años (033)",553,518,25,5,5
"Hombres (034)",387,358,19,5,5
"Mujeres (035)",166,160,6,,
,,,,,
"RURAL (036)",4400,3322,463,280,335
"Hombres (037)",3426,2458,404,265,299
"Mujeres (038)",974,864,59,15,36
"De 06 a 14 años (039)",65,60,3,2,
"Hombres (040)",43,39,2,2,
"Mujeres (041)",22,21,1,,
"De 15 a 29 años (042)",1410,997,180,92,141
"Hombres (043)",1099,732,153,84,130
"Mujeres (044)",311,265,27,8,11
"De 30 a 44 años (045)",1420,953,184,132,151
"Hombres (046)",1144,721,166,125,132
"Mujeres (047)",276,232,18,7,19
"De 45 a 64 años (048)",1009,841,80,45,43
"Hombres (049)",759,608,69,45,37
"Mujeres (050)",250,233,11,,6
"De 65 y más años (051)",496,471,16,9,
"Hombres (052)",381,358,14,9,
"Mujeres (053)",115,113,2,,
