"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia BONGARA (000)",10293,1305,1348,5494,203,1506,181,256
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",42,40,,,2,,,
"Profes., científicos e intelectuales (002)",546,504,,39,3,,,
"Técnicos de nivel medio y trab. asimilados (003)",201,139,,50,4,8,,
"Jefes y empleados de oficina (004)",161,158,,,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",969,121,10,722,12,104,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3898,11,,3755,131,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",355,,107,225,17,6,,
"Obreros construc.,conf.,papel, fab., instr. (008)",672,77,212,346,30,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2815,117,997,222,1,1297,181,
"Otra (010)",75,75,,,,,,
"Ocupaciñn no especificada (011)",303,63,22,135,3,80,,
"Desocupado (012)",256,,,,,,,256
"Hombres (013)",7692,800,1140,4460,170,933,2,187
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",29,27,,,2,,,
"Profes., científicos e intelectuales (015)",265,234,,28,3,,,
"Técnicos de nivel medio y trab. asimilados (016)",140,92,,38,4,6,,
"Jefes y empleados de oficina (017)",90,89,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",427,81,5,321,5,15,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3522,11,,3400,110,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",292,,94,183,13,2,,
"Obreros construc.,conf.,papel, fab., instr. (021)",665,76,209,343,30,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",1892,75,818,102,1,894,2,
"Otra (023)",72,72,,,,,,
"Ocupaciñn no especificada (024)",111,43,14,45,2,7,,
"Desocupado (025)",187,,,,,,,187
"Mujeres (026)",2601,505,208,1034,33,573,179,69
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,13,,,,,,
"Profes., científicos e intelectuales (028)",281,270,,11,,,,
"Técnicos de nivel medio y trab. asimilados (029)",61,47,,12,,2,,
"Jefes y empleados de oficina (030)",71,69,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",542,40,5,401,7,89,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",376,,,355,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",63,,13,42,4,4,,
"Obreros construc.,conf.,papel, fab., instr. (034)",7,1,3,3,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",923,42,179,120,,403,179,
"Otra (036)",3,3,,,,,,
"Ocupaciñn no especificada (037)",192,20,8,90,1,73,,
"Desocupado (038)",69,,,,,,,69
,,,,,,,,
"URBANA (039)",6448,1157,716,3297,152,769,157,200
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",31,30,,,1,,,
"Profes., científicos e intelectuales (041)",481,450,,28,3,,,
"Técnicos de nivel medio y trab. asimilados (042)",180,123,,46,3,8,,
"Jefes y empleados de oficina (043)",143,141,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",840,101,6,627,10,96,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1924,,,1836,87,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",279,,75,183,17,4,,
"Obreros construc.,conf.,papel, fab., instr. (047)",524,69,151,270,28,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1539,107,464,206,1,604,157,
"Otra (049)",73,73,,,,,,
"Ocupaciñn no especificada (050)",234,63,20,101,2,48,,
"Desocupado (051)",200,,,,,,,200
"Hombres (052)",4484,700,594,2504,127,415,1,143
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",18,17,,,1,,,
"Profes., científicos e intelectuales (054)",233,209,,21,3,,,
"Técnicos de nivel medio y trab. asimilados (055)",128,84,,35,3,6,,
"Jefes y empleados de oficina (056)",75,74,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",360,66,4,272,3,15,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1703,,,1628,74,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",227,,65,148,13,1,,
"Obreros construc.,conf.,papel, fab., instr. (060)",518,68,148,268,28,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",907,67,364,95,1,379,1,
"Otra (062)",72,72,,,,,,
"Ocupaciñn no especificada (063)",100,43,13,37,1,6,,
"Desocupado (064)",143,,,,,,,143
"Mujeres (065)",1964,457,122,793,25,354,156,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",13,13,,,,,,
"Profes., científicos e intelectuales (067)",248,241,,7,,,,
"Técnicos de nivel medio y trab. asimilados (068)",52,39,,11,,2,,
"Jefes y empleados de oficina (069)",68,67,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",480,35,2,355,7,81,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",221,,,208,13,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",52,,10,35,4,3,,
"Obreros construc.,conf.,papel, fab., instr. (073)",6,1,3,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",632,40,100,111,,225,156,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",134,20,7,64,1,42,,
"Desocupado (077)",57,,,,,,,57
,,,,,,,,
"RURAL (078)",3845,148,632,2197,51,737,24,56
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",11,10,,,1,,,
"Profes., científicos e intelectuales (080)",65,54,,11,,,,
"Técnicos de nivel medio y trab. asimilados (081)",21,16,,4,1,,,
"Jefes y empleados de oficina (082)",18,17,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",129,20,4,95,2,8,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1974,11,,1919,44,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",76,,32,42,,2,,
"Obreros construc.,conf.,papel, fab., instr. (086)",148,8,61,76,2,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1276,10,533,16,,693,24,
"Otra (088)",2,2,,,,,,
"Ocupaciñn no especificada (089)",69,,2,34,1,32,,
"Desocupado (090)",56,,,,,,,56
"Hombres (091)",3208,100,546,1956,43,518,1,44
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",11,10,,,1,,,
"Profes., científicos e intelectuales (093)",32,25,,7,,,,
"Técnicos de nivel medio y trab. asimilados (094)",12,8,,3,1,,,
"Jefes y empleados de oficina (095)",15,15,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",67,15,1,49,2,,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1819,11,,1772,36,,,
