"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LUYA (000)",12082,11724,62,2077,2094,1781,2865,1802,786,257,358,45224
"De 12 a 14 años (001)",23,8,,6,2,,,,,,15,10
"De 15 a 19 años (002)",411,378,7,325,40,5,1,,,,33,424
"De 20 a 24 años (003)",1259,1164,8,657,351,107,40,1,,,95,1852
"De 25 a 29 años (004)",1464,1396,1,394,505,290,194,12,,,68,3175
"De 30 a 34 años (005)",1317,1286,1,183,325,322,358,87,8,2,31,3985
"De 35 a 39 años (006)",1330,1313,7,104,249,275,441,185,46,6,17,4990
"De 40 a 44 años (007)",1157,1133,3,70,145,179,345,260,112,19,24,5263
"De 45 a 49 años (008)",978,967,2,63,94,112,280,239,125,52,11,4965
"De 50 y más años (009)",4143,4079,33,275,383,491,1206,1018,495,178,64,20560
"Sin nivel (010)",2454,2371,27,236,281,315,664,530,235,83,83,10975
"De 15 a 19 años (012)",18,18,,15,3,,,,,,,21
"De 20 a 24 años (013)",68,59,1,29,20,5,3,1,,,9,103
"De 25 a 29 años (014)",75,67,,16,17,18,15,1,,,8,175
"De 30 a 34 años (015)",88,84,,7,17,15,35,10,,,4,304
"De 35 a 39 años (016)",122,116,3,14,14,17,34,29,4,1,6,474
"De 40 a 44 años (017)",147,138,1,14,11,12,41,35,23,1,9,687
"De 45 a 49 años (018)",174,166,,14,15,17,31,39,32,18,8,947
"De 50 y más años (019)",1762,1723,22,127,184,231,505,415,176,63,39,8264
"Educacion Inicial (020)",16,14,,6,5,1,2,,,,2,28
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",3,2,,1,1,,,,,,1,3
