"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHOTA (000)",38911,159146,8457,31640,30454,127506
"Casa independiente (001)",38184,156428,8234,30937,29950,125491
"Departamento en edificio (002)",80,243,80,243,,
"Vivienda en quinta (003)",74,236,74,236,,
"Vivienda en casa de vecindad (004)",58,195,58,195,,
"Choza o cabaña (005)",495,1976,,,495,1976
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",16,59,8,21,8,38
"Otro tipo (008)",3,8,2,7,1,1
