"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMPA (000)",13785,10563,924,669,1629
"Agric., ganadería, caza y silvicultura (001)",7022,6762,248,7,5
"Pesca (002)",101,90,10,1,
"Explotación de minas y canteras (003)",1245,112,138,210,785
"Industrias manufactureras (004)",1073,985,54,18,16
"Suministro de electricidad, gas y agua (005)",4,1,,3,
"Construcción (006)",650,397,113,56,84
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",989,938,35,6,10
"Venta, mant.y rep. veh.autom y motoc. (008)",90,66,13,1,10
"Comercio al por mayor (009)",47,46,1,,
"Comercio al por menor (010)",852,826,21,5,
"Hoteles y restaurantes (011)",205,174,10,2,19
"Trans., almac. y comunicaciones (012)",483,303,50,83,47
"Intermediación financiera (013)",2,1,,1,
"Activid.inmobil., empres. y alquileres (014)",183,73,29,29,52
"Admin.pub. y defensa; p. segur soc.afil (015)",365,,,,365
"Enseñanza (016)",674,142,166,215,151
"Servicios sociales y de salud (017)",117,29,9,3,76
"Otras activ. serv.comun.soc y personales (018)",97,62,22,7,6
"Hogares privados con servicio doméstico (019)",138,138,,,
"Actividad economica no especificada (021)",437,356,40,28,13
"Hombres (022)",8765,6059,688,580,1438
"Agric., ganadería, caza y silvicultura (023)",4240,4087,144,5,4
"Pesca (024)",79,72,6,1,
"Explotación de minas y canteras (025)",1227,108,134,203,782
"Industrias manufactureras (026)",423,362,31,17,13
"Suministro de electricidad, gas y agua (027)",4,1,,3,
"Construcción (028)",635,391,110,51,83
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",340,308,17,5,10
"Venta, mant.y rep. veh.autom y motoc. (030)",78,55,12,1,10
"Comercio al por mayor (031)",27,27,,,
"Comercio al por menor (032)",235,226,5,4,
"Hoteles y restaurantes (033)",71,46,5,1,19
"Trans., almac. y comunicaciones (034)",469,294,50,81,44
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",173,68,28,27,50
"Admin.pub. y defensa; p. segur soc.afil (037)",282,,,,282
"Enseñanza (038)",452,80,115,154,103
"Servicios sociales y de salud (039)",64,24,3,1,36
"Otras activ. serv.comun.soc y personales (040)",61,33,18,6,4
"Hogares privados con servicio doméstico (041)",21,21,,,
"Actividad economica no especificada (043)",223,164,27,24,8
