"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",25175,24449,6892,2270,2208,2065,3845,3269,2280,1620,726,88448
"De 12 a 14 años (001)",3309,3271,3254,15,2,,,,,,38,19
"De 15 a 19 años (002)",3069,2983,2576,344,49,11,3,,,,86,487
"De 20 a 24 años (003)",2182,1983,464,760,529,157,64,9,,,199,2614
"De 25 a 29 años (004)",2245,2090,143,429,578,501,386,46,7,,155,5072
"De 30 a 34 años (005)",2103,2038,77,207,365,433,688,215,45,8,65,7121
"De 35 a 39 años (006)",2067,2028,48,117,187,308,658,490,179,41,39,9428
"De 40 a 44 años (007)",2057,2032,54,66,111,149,507,561,420,164,25,11961
"De 45 a 49 años (008)",1761,1744,34,55,82,99,348,486,375,265,17,11320
"De 50 y más años (009)",6382,6280,242,277,305,407,1191,1462,1254,1142,102,40426
"Sin nivel (010)",8288,8140,307,381,434,608,1701,1926,1540,1243,148,50150
"De 12 a 14 años (011)",15,15,14,,1,,,,,,,2
"De 15 a 19 años (012)",60,60,40,11,6,3,,,,,,32
"De 20 a 24 años (013)",105,90,9,24,24,20,9,4,,,15,195
"De 25 a 29 años (014)",219,205,5,28,50,58,53,7,4,,14,603
"De 30 a 34 años (015)",379,368,7,21,44,63,144,62,21,6,11,1590
"De 35 a 39 años (016)",560,552,6,21,27,53,185,170,70,20,8,2961
"De 40 a 44 años (017)",867,855,13,24,29,40,195,234,221,99,12,5538
"De 45 a 49 años (018)",902,895,17,24,22,44,163,246,208,171,7,6190
"De 50 y más años (019)",5181,5100,196,228,231,327,952,1203,1016,947,81,33039
"Educacion Inicial (020)",44,42,17,1,7,3,8,5,1,,2,100
"De 12 a 14 años (021)",9,9,9,,,,,,,,,
