"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OTUZCO (000)",28553,26447,956,622,528
"Agric., ganadería, caza y silvicultura (001)",20870,20527,284,46,13
"Pesca (002)",2,1,,,1
"Explotación de minas y canteras (003)",596,330,150,95,21
"Industrias manufactureras (004)",709,649,43,6,11
"Suministro de electricidad, gas y agua (005)",25,3,1,20,1
"Construcción (006)",560,412,75,66,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1626,1588,31,7,
"Venta, mant.y rep. veh.autom y motoc. (008)",38,35,3,,
"Comercio al por mayor (009)",72,69,1,2,
"Comercio al por menor (010)",1516,1484,27,5,
"Hoteles y restaurantes (011)",544,523,19,2,
"Trans., almac. y comunicaciones (012)",414,342,28,25,19
"Intermediación financiera (013)",15,6,3,4,2
"Activid.inmobil., empres. y alquileres (014)",148,77,27,25,19
"Admin.pub. y defensa; p. segur soc.afil (015)",229,,,,229
"Enseñanza (016)",979,372,230,288,89
"Servicios sociales y de salud (017)",154,37,11,5,101
"Otras activ. serv.comun.soc y personales (018)",235,186,22,20,7
"Hogares privados con servicio doméstico (019)",652,652,,,
"Actividad economica no especificada (021)",795,742,32,13,8
"Hombres (022)",22763,21239,733,451,340
"Agric., ganadería, caza y silvicultura (023)",18769,18468,253,38,10
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",587,326,147,93,21
"Industrias manufactureras (026)",466,418,37,6,5
"Suministro de electricidad, gas y agua (027)",24,3,,20,1
"Construcción (028)",554,406,75,66,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",780,753,24,3,
"Venta, mant.y rep. veh.autom y motoc. (030)",32,29,3,,
"Comercio al por mayor (031)",41,39,,2,
"Comercio al por menor (032)",707,685,21,1,
"Hoteles y restaurantes (033)",67,63,3,1,
"Trans., almac. y comunicaciones (034)",389,322,25,24,18
"Intermediación financiera (035)",6,3,,1,2
"Activid.inmobil., empres. y alquileres (036)",107,60,17,16,14
"Admin.pub. y defensa; p. segur soc.afil (037)",177,,,,177
"Enseñanza (038)",457,142,114,157,44
"Servicios sociales y de salud (039)",50,12,6,,32
"Otras activ. serv.comun.soc y personales (040)",103,69,14,16,4
"Hogares privados con servicio doméstico (041)",36,36,,,
"Actividad economica no especificada (043)",190,157,18,10,5
