"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CAÑETE (000)",200662,199114,1074,474
"Hombres (001)",100524,99771,512,241
"Mujeres (002)",100138,99343,562,233
"Menores de 1 año (003)",3954,3436,374,144
"Hombres (004)",2002,1741,194,67
"Mujeres (005)",1952,1695,180,77
"De 1 a 5 años (006)",20514,19658,540,316
"Hombres (007)",10398,9957,273,168
"Mujeres (008)",10116,9701,267,148
"De 6 a 14 años (009)",37052,37025,22,5
"Hombres (010)",18875,18857,14,4
"Mujeres (011)",18177,18168,8,1
"De 15 a 29 años (012)",54078,54059,14,5
"Hombres (013)",26880,26874,5,1
"Mujeres (014)",27198,27185,9,4
"De 30 a 44 años (015)",41092,41075,15,2
"Hombres (016)",20192,20185,6,1
"Mujeres (017)",20900,20890,9,1
"De 45 a 64 años (018)",30199,30173,24,2
"Hombres (019)",15177,15175,2,
"Mujeres (020)",15022,14998,22,2
"De 65 a más años (021)",13773,13688,85,
"Hombres (022)",7000,6982,18,
"Mujeres (023)",6773,6706,67,
,,,,
"URBANA (024)",168584,167265,937,382
"Hombres (025)",83795,83153,451,191
"Mujeres (026)",84789,84112,486,191
"Menores de 1 año (027)",3362,2915,329,118
"Hombres (028)",1709,1487,168,54
"Mujeres (029)",1653,1428,161,64
"De 1 a 5 años (030)",17338,16607,478,253
"Hombres (031)",8763,8388,243,132
"Mujeres (032)",8575,8219,235,121
"De 6 a 14 años (033)",31374,31351,18,5
"Hombres (034)",15961,15945,12,4
"Mujeres (035)",15413,15406,6,1
"De 15 a 29 años (036)",45607,45593,10,4
"Hombres (037)",22530,22524,5,1
"Mujeres (038)",23077,23069,5,3
"De 30 a 44 años (039)",34557,34543,13,1
"Hombres (040)",16734,16729,5,
"Mujeres (041)",17823,17814,8,1
"De 45 a 64 años (042)",25130,25112,17,1
"Hombres (043)",12449,12447,2,
"Mujeres (044)",12681,12665,15,1
"De 65 a más años (045)",11216,11144,72,
"Hombres (046)",5649,5633,16,
"Mujeres (047)",5567,5511,56,
,,,,
"RURAL (048)",32078,31849,137,92
"Hombres (049)",16729,16618,61,50
"Mujeres (050)",15349,15231,76,42
"Menores de 1 año (051)",592,521,45,26
"Hombres (052)",293,254,26,13
"Mujeres (053)",299,267,19,13
"De 1 a 5 años (054)",3176,3051,62,63
"Hombres (055)",1635,1569,30,36
"Mujeres (056)",1541,1482,32,27
"De 6 a 14 años (057)",5678,5674,4,
"Hombres (058)",2914,2912,2,
"Mujeres (059)",2764,2762,2,
"De 15 a 29 años (060)",8471,8466,4,1
"Hombres (061)",4350,4350,,
"Mujeres (062)",4121,4116,4,1
"De 30 a 44 años (063)",6535,6532,2,1
"Hombres (064)",3458,3456,1,1
"Mujeres (065)",3077,3076,1,
"De 45 a 64 años (066)",5069,5061,7,1
"Hombres (067)",2728,2728,,
"Mujeres (068)",2341,2333,7,1
"De 65 a más años (069)",2557,2544,13,
"Hombres (070)",1351,1349,2,
"Mujeres (071)",1206,1195,11,
