"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAITA (000)",34602,20193,4810,3344,6255
"Sin nivel (001)",1586,1244,136,81,125
"Educación inicial (002)",53,35,7,5,6
"Primaria (003)",10746,7448,1387,638,1273
"Secundaria (004)",12850,7090,1996,1282,2482
"Superior no univ. incompleta (005)",2442,1306,342,276,518
"Superior no univ. completa (006)",3719,1599,519,577,1024
"Superior univ. incompleta (007)",1177,614,147,139,277
"Superior univ. completa (008)",2029,857,276,346,550
"De 06 a 14 años (010)",459,393,52,7,7
"Sin nivel (011)",9,8,1,,
"Educación inicial (012)",9,7,1,1,
"Primaria (013)",334,294,30,5,5
"Secundaria (014)",107,84,20,1,2
"De 15 a 29 años (020)",12820,6957,2060,1272,2531
"Sin nivel (021)",106,73,12,7,14
"Educación inicial (022)",23,10,4,3,6
"Primaria (023)",2817,1759,468,187,403
"Secundaria (024)",6103,3317,1020,575,1191
"Superior no univ. incompleta (025)",1201,645,166,132,258
"Superior no univ. completa (026)",1414,617,225,209,363
"Superior univ. incompleta (027)",547,284,79,52,132
"Superior univ. completa (028)",609,252,86,107,164
"De 30 a 44 años (030)",12602,6911,1816,1336,2539
"Sin nivel (031)",505,351,55,36,63
"Educación inicial (032)",21,18,2,1,
"Primaria (033)",3615,2329,510,246,530
"Secundaria (034)",4626,2475,727,503,921
"Superior no univ. incompleta (035)",882,463,136,97,186
"Superior no univ. completa (036)",1625,681,213,245,486
"Superior univ. incompleta (037)",393,200,46,58,89
"Superior univ. completa (038)",935,394,127,150,264
"De 45 a 64 años (040)",7470,4851,816,694,1109
"Sin nivel (041)",656,524,55,37,40
"Primaria (043)",3278,2446,345,187,300
"Secundaria (044)",1881,1110,220,196,355
"Superior no univ. incompleta (045)",334,180,37,45,72
"Superior no univ. completa (046)",644,278,78,119,169
"Superior univ. incompleta (047)",226,123,22,26,55
"Superior univ. completa (048)",451,190,59,84,118
"De 65 y más años (050)",1251,1081,66,35,69
"Sin nivel (051)",310,288,13,1,8
"Primaria (053)",702,620,34,13,35
"Secundaria (054)",133,104,9,7,13
"Superior no univ. incompleta (055)",25,18,3,2,2
"Superior no univ. completa (056)",36,23,3,4,6
"Superior univ. incompleta (057)",11,7,,3,1
