"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CUSCO (000)",88337,357236,84469,341229,3868,16007
"Casa independiente (001)",66510,282743,62912,267790,3598,14953
"Departamento en edificio (002)",5841,20399,5841,20399,,
"Vivienda en quinta (003)",4844,16408,4844,16408,,
"Vivienda en casa de vecindad (004)",10490,35581,10490,35581,,
"Choza o cabaña (005)",269,1046,,,269,1046
"Vivienda improvisada (006)",115,278,115,278,,
"Local no dest.para hab. humana (007)",136,420,135,412,1,8
"Otro tipo (008)",132,361,132,361,,
