"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAURICOCHA (000)",11609,11253,3694,1101,1114,1037,1540,1179,828,760,356,36375
"De 12 a 14 años (001)",1461,1454,1451,2,1,,,,,,7,4
"De 15 a 19 años (002)",1604,1586,1380,171,26,7,2,,,,18,252
"De 20 a 24 años (003)",1219,1106,421,342,245,72,25,1,,,113,1158
"De 25 a 29 años (004)",1154,1056,169,235,271,215,147,17,2,,98,2171
"De 30 a 34 años (005)",1055,1015,83,103,217,239,250,107,16,,40,3136
"De 35 a 39 años (006)",976,947,35,64,102,186,299,185,55,21,29,4019
"De 40 a 44 años (007)",860,852,36,36,46,97,242,191,151,53,8,4586
"De 45 a 49 años (008)",759,744,24,30,50,49,156,172,162,101,15,4559
"De 50 y más años (009)",2521,2493,95,118,156,172,419,506,442,585,28,16490
"Sin nivel (010)",1431,1390,200,70,128,110,216,221,221,224,41,7489
"De 12 a 14 años (011)",45,44,43,1,,,,,,,1,1
"De 15 a 19 años (012)",75,75,66,4,4,,1,,,,,16
"De 20 a 24 años (013)",58,51,18,12,12,4,5,,,,7,70
"De 25 a 29 años (014)",84,74,13,14,18,15,10,4,,,10,164
"De 30 a 34 años (015)",85,77,12,3,14,15,16,11,6,,8,264
"De 35 a 39 años (016)",102,100,8,6,12,13,21,24,11,5,2,464
"De 40 a 44 años (017)",102,101,7,2,5,10,21,14,33,9,1,602
"De 45 a 49 años (018)",104,102,4,2,14,4,20,16,28,14,2,631
"De 50 y más años (019)",776,766,29,26,49,49,122,152,143,196,10,5277
"Educacion Inicial (020)",14,14,6,,2,1,2,3,,,,34
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"De 15 a 19 años (022)",3,3,3,,,,,,,,,
