"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",32603,5519,5703,15010,819,4541,1011
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,45,,,4,,
"Profes., científicos e intelectuales (002)",2333,2078,,212,28,15,
"Técnicos de nivel medio y trab. asimilados (003)",926,642,,227,48,9,
"Jefes y empleados de oficina (004)",842,832,,5,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3307,805,55,1946,136,365,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",9802,5,,9387,409,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1330,,490,734,67,39,
"Obreros construc.,conf., papel, fab., instr. (008)",2299,245,828,1118,71,37,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",10586,512,4066,1013,27,3957,1011
"Otra (010)",72,72,,,,,
"Ocupación no especificada (011)",1057,283,264,368,29,113,
"Hombres (012)",23190,3243,4921,11975,641,2352,58
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,32,,,4,,
"Profes., científicos e intelectuales (014)",1387,1219,,133,25,10,
"Técnicos de nivel medio y trab. asimilados (015)",630,421,,169,33,7,
"Jefes y empleados de oficina (016)",394,390,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1415,430,14,827,64,80,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",8983,5,,8601,376,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1102,,462,564,56,20,
"Obreros construc.,conf., papel, fab., instr. (020)",2249,242,815,1088,67,37,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",6294,283,3432,368,7,2146,58
"Otra (022)",70,70,,,,,
"Ocupación no especificada (023)",630,151,198,223,9,49,
"Mujeres (024)",9413,2276,782,3035,178,2189,953
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,13,,,,,
"Profes., científicos e intelectuales (026)",946,859,,79,3,5,
"Técnicos de nivel medio y trab. asimilados (027)",296,221,,58,15,2,
"Jefes y empleados de oficina (028)",448,442,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1892,375,41,1119,72,285,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",819,,,786,33,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",228,,28,170,11,19,
"Obreros construc.,conf., papel, fab., instr. (032)",50,3,13,30,4,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",4292,229,634,645,20,1811,953
"Otra (034)",2,2,,,,,
"Ocupación no especificada (035)",427,132,66,145,20,64,
,,,,,,,
"URBANA (036)",21358,5144,3398,9033,674,2170,939
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",40,37,,,3,,
"Profes., científicos e intelectuales (038)",2048,1803,,205,28,12,
"Técnicos de nivel medio y trab. asimilados (039)",877,603,,221,46,7,
"Jefes y empleados de oficina (040)",828,818,,5,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",3216,794,51,1890,130,351,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3924,3,,3643,278,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1258,,442,716,64,36,
"Obreros construc.,conf., papel, fab., instr. (044)",2235,241,795,1092,71,36,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",5965,501,1877,991,25,1632,939
"Otra (046)",72,72,,,,,
"Ocupación no especificada (047)",895,272,233,270,29,91,
"Hombres (048)",13737,2978,2950,6353,504,902,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",29,26,,,3,,
"Profes., científicos e intelectuales (050)",1176,1016,,128,25,7,
"Técnicos de nivel medio y trab. asimilados (051)",600,397,,165,32,6,
"Jefes y empleados de oficina (052)",383,379,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1368,421,14,798,60,75,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",3377,3,,3125,249,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1036,,415,548,53,20,
"Obreros construc.,conf., papel, fab., instr. (056)",2187,238,783,1063,67,36,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",2951,277,1552,358,6,708,50
"Otra (058)",70,70,,,,,
"Ocupación no especificada (059)",560,151,186,166,9,48,
"Mujeres (060)",7621,2166,448,2680,170,1268,889
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",11,11,,,,,
"Profes., científicos e intelectuales (062)",872,787,,77,3,5,
"Técnicos de nivel medio y trab. asimilados (063)",277,206,,56,14,1,
"Jefes y empleados de oficina (064)",445,439,,3,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1848,373,37,1092,70,276,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",547,,,518,29,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",222,,27,168,11,16,
"Obreros construc.,conf., papel, fab., instr. (068)",48,3,12,29,4,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3014,224,325,633,19,924,889
"Otra (070)",2,2,,,,,
"Ocupación no especificada (071)",335,121,47,104,20,43,
,,,,,,,
"RURAL (072)",11245,375,2305,5977,145,2371,72
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,8,,,1,,
"Profes., científicos e intelectuales (074)",285,275,,7,,3,
"Técnicos de nivel medio y trab. asimilados (075)",49,39,,6,2,2,
"Jefes y empleados de oficina (076)",14,14,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",91,11,4,56,6,14,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",5878,2,,5744,131,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",72,,48,18,3,3,
"Obreros construc.,conf., papel, fab., instr. (080)",64,4,33,26,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4621,11,2189,22,2,2325,72
"Ocupación no especificada (083)",162,11,31,98,,22,
"Hombres (084)",9453,265,1971,5622,137,1450,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,6,,,1,,
"Profes., científicos e intelectuales (086)",211,203,,5,,3,
"Técnicos de nivel medio y trab. asimilados (087)",30,24,,4,1,1,
"Jefes y empleados de oficina (088)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",47,9,,29,4,5,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",5606,2,,5476,127,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",66,,47,16,3,,
"Obreros construc.,conf., papel, fab., instr. (092)",62,4,32,25,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",3343,6,1880,10,1,1438,8
"Ocupación no especificada (095)",70,,12,57,,1,
"Mujeres (096)",1792,110,334,355,8,921,64
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
