"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA (000)",310649,40971,58721,63567,55428,38509,53453
"Conviviente (001)",75240,711,12299,25477,19541,9823,7389
"Separado(a) (002)",13502,67,1120,2845,3483,2875,3112
"Casado(a) (003)",88587,96,2213,13780,22539,19846,30113
"Viudo(a) (004)",11245,5,46,205,553,1265,9171
"Divorciado(a) (005)",1567,,32,131,363,459,582
"Soltero(a) (006)",120508,40092,43011,21129,8949,4241,3086
"Hombres (008)",154048,20699,29653,31169,27024,18355,27148
"Conviviente (009)",36702,265,4459,11988,10176,5328,4486
"Separado(a) (010)",4204,20,229,819,1027,936,1173
"Casado(a) (011)",43577,51,663,5692,10557,9472,17142
"Viudo(a) (012)",2863,2,7,47,112,242,2453
"Divorciado(a) (013)",680,,9,49,144,192,286
"Soltero(a) (014)",66022,20361,24286,12574,5008,2185,1608
"Mujeres (016)",156601,20272,29068,32398,28404,20154,26305
"Conviviente (017)",38538,446,7840,13489,9365,4495,2903
"Separado(a) (018)",9298,47,891,2026,2456,1939,1939
"Casado(a) (019)",45010,45,1550,8088,11982,10374,12971
"Viudo(a) (020)",8382,3,39,158,441,1023,6718
"Divorciado(a) (021)",887,,23,82,219,267,296
"Soltero(a) (022)",54486,19731,18725,8555,3941,2056,1478
,,,,,,,
"URBANA (024)",291315,37858,55077,59927,52378,36201,49874
"Conviviente (025)",68300,655,11194,23373,17912,8799,6367
"Separado(a) (026)",12797,58,1046,2701,3335,2754,2903
"Casado(a) (027)",84712,88,2086,13265,21676,18987,28610
"Viudo(a) (028)",10451,5,45,186,520,1183,8512
"Divorciado(a) (029)",1527,,31,127,355,451,563
"Soltero(a) (030)",113528,37052,40675,20275,8580,4027,2919
"Hombres (032)",143641,19065,27639,29218,25381,17087,25251
"Conviviente (033)",33227,250,4096,10936,9301,4768,3876
"Separado(a) (034)",3952,20,221,777,980,882,1072
"Casado(a) (035)",41589,44,623,5482,10137,9016,16287
"Viudo(a) (036)",2626,2,7,42,106,214,2255
"Divorciado(a) (037)",655,,9,47,140,186,273
"Soltero(a) (038)",61592,18749,22683,11934,4717,2021,1488
"Mujeres (040)",147674,18793,27438,30709,26997,19114,24623
"Conviviente (041)",35073,405,7098,12437,8611,4031,2491
"Separado(a) (042)",8845,38,825,1924,2355,1872,1831
"Casado(a) (043)",43123,44,1463,7783,11539,9971,12323
"Viudo(a) (044)",7825,3,38,144,414,969,6257
"Divorciado(a) (045)",872,,22,80,215,265,290
"Soltero(a) (046)",51936,18303,17992,8341,3863,2006,1431
,,,,,,,
"RURAL (048)",19334,3113,3644,3640,3050,2308,3579
"Conviviente (049)",6940,56,1105,2104,1629,1024,1022
"Separado(a) (050)",705,9,74,144,148,121,209
"Casado(a) (051)",3875,8,127,515,863,859,1503
"Viudo(a) (052)",794,,1,19,33,82,659
"Divorciado(a) (053)",40,,1,4,8,8,19
"Soltero(a) (054)",6980,3040,2336,854,369,214,167
"Hombres (056)",10407,1634,2014,1951,1643,1268,1897
"Conviviente (057)",3475,15,363,1052,875,560,610
"Separado(a) (058)",252,,8,42,47,54,101
"Casado(a) (059)",1988,7,40,210,420,456,855
"Viudo(a) (060)",237,,,5,6,28,198
"Divorciado(a) (061)",25,,,2,4,6,13
"Soltero(a) (062)",4430,1612,1603,640,291,164,120
"Mujeres (064)",8927,1479,1630,1689,1407,1040,1682
"Conviviente (065)",3465,41,742,1052,754,464,412
"Separado(a) (066)",453,9,66,102,101,67,108
"Casado(a) (067)",1887,1,87,305,443,403,648
"Viudo(a) (068)",557,,1,14,27,54,461
"Divorciado(a) (069)",15,,1,2,4,2,6
"Soltero(a) (070)",2550,1428,733,214,78,50,47
