"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAMBOPATA (000)",18932,18014,115,4721,4260,3093,3535,1508,553,229,918,54733
"De 12 a 14 años (001)",57,28,1,27,,,,,,,29,27
"De 15 a 19 años (002)",945,850,17,707,112,9,5,,,,95,978
"De 20 a 24 años (003)",2857,2521,36,1640,682,137,22,4,,,336,3532
"De 25 a 29 años (004)",3180,2952,17,1111,1114,509,192,6,3,,228,5733
"De 30 a 34 años (005)",2801,2721,11,542,905,662,543,54,4,,80,7011
"De 35 a 39 años (006)",2542,2491,5,306,605,653,722,178,20,2,51,7898
"De 40 a 44 años (007)",2035,2016,11,148,341,460,736,262,52,6,19,7624
"De 45 a 49 años (008)",1517,1503,4,95,223,298,500,278,92,13,14,6327
"De 50 y más años (009)",2998,2932,13,145,278,365,815,726,382,208,66,15603
"Conviviente (010)",10851,10565,69,3025,2724,1858,1867,725,221,76,286,29485
"De 12 a 14 años (011)",40,14,,14,,,,,,,26,14
"De 15 a 19 años (012)",682,598,10,498,81,7,2,,,,84,689
"De 20 a 24 años (013)",1969,1888,26,1170,556,116,17,3,,,81,2719
"De 25 a 29 años (014)",2237,2192,12,748,857,416,151,6,2,,45,4396
"De 30 a 34 años (015)",1883,1866,7,312,607,477,410,49,4,,17,5037
"De 35 a 39 años (016)",1484,1472,4,135,332,399,460,126,14,2,12,4921
"De 40 a 44 años (017)",1056,1051,4,71,133,229,400,173,37,4,5,4243
"De 45 a 49 años (018)",672,670,3,35,79,116,222,161,45,9,2,3034
"De 50 y más años (019)",828,814,3,42,79,98,205,207,119,61,14,4432
"Separado(a) (020)",1135,1113,5,335,251,180,208,87,36,11,22,3267
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (022)",54,52,,46,6,,,,,,2,58
