"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SULLANA (000)",79523,73020,306,16142,17070,12705,14136,7255,3627,1779,6503,247036
"De 12 a 14 años (001)",108,48,5,34,9,,,,,,60,52
"De 15 a 19 años (002)",2034,1646,21,1456,141,20,8,,,,388,1830
"De 20 a 24 años (003)",8427,6568,32,4393,1761,325,53,4,,,1859,9135
"De 25 a 29 años (004)",10780,9175,42,3698,3595,1373,440,23,4,,1605,17020
"De 30 a 34 años (005)",10774,9943,28,2289,3797,2369,1295,142,19,4,831,23591
"De 35 a 39 años (006)",9683,9112,25,1233,2751,2526,2099,406,65,7,571,26528
"De 40 a 44 años (007)",8361,8057,24,858,1815,2122,2330,719,156,33,304,27241
"De 45 a 49 años (008)",7237,6971,24,691,1178,1399,2252,1000,336,91,266,27375
"De 50 y más años (009)",22119,21500,105,1490,2023,2571,5659,4961,3047,1644,619,114264
"Conviviente (010)",23684,22937,110,6597,6280,3853,3692,1498,651,256,747,64707
"De 12 a 14 años (011)",79,25,5,18,2,,,,,,54,22
"De 15 a 19 años (012)",1390,1107,14,971,108,10,4,,,,283,1233
"De 20 a 24 años (013)",3995,3793,18,2379,1116,236,41,3,,,202,5508
"De 25 a 29 años (014)",4548,4462,22,1597,1821,737,267,16,2,,86,8676
"De 30 a 34 años (015)",3976,3934,10,759,1465,997,615,76,10,2,42,9889
"De 35 a 39 años (016)",3066,3036,10,340,858,795,829,168,32,4,30,9398
"De 40 a 44 años (017)",2124,2115,8,197,424,487,669,253,65,12,9,7736
"De 45 a 49 años (018)",1565,1555,7,122,215,288,508,272,112,31,10,6696
"De 50 y más años (019)",2941,2910,16,214,271,303,759,710,430,207,31,15549
"Separado(a) (020)",5722,5618,24,1823,1320,816,966,437,163,69,104,16077
