"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",3180,3104,737,495,522,386,462,276,166,60,76,8546
"De 12 a 14 años (001)",223,221,221,,,,,,,,2,
"De 15 a 19 años (002)",313,311,260,45,5,,1,,,,2,59
"De 20 a 24 años (003)",293,268,88,140,32,7,1,,,,25,229
"De 25 a 29 años (004)",313,296,50,116,85,35,8,1,1,,17,439
"De 30 a 34 años (005)",335,326,27,67,125,70,33,4,,,9,695
"De 35 a 39 años (006)",294,285,19,35,95,69,55,12,,,9,738
"De 40 a 44 años (007)",260,257,9,20,66,61,68,25,8,,3,858
"De 45 a 49 años (008)",232,230,13,17,34,52,69,34,11,,2,849
"De 50 y más años (009)",917,910,50,55,80,92,227,200,146,60,7,4679
"Sin nivel (010)",583,579,41,28,45,56,154,119,103,33,4,2969
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",1,1,1,,,,,,,,,
"De 20 a 24 años (013)",1,,,,,,,,,,1,
"De 30 a 34 años (015)",16,16,1,,9,1,5,,,,,44
"De 35 a 39 años (016)",16,16,2,2,2,7,1,2,,,,43
"De 40 a 44 años (017)",38,37,2,2,5,6,14,5,3,,1,149
"De 45 a 49 años (018)",37,37,3,,2,10,8,11,3,,,167
"De 50 y más años (019)",471,469,29,24,27,32,126,101,97,33,2,2566
"Educacion Inicial (020)",2,2,,,1,,1,,,,,7
"De 30 a 34 años (025)",1,1,,,,,1,,,,,5
"De 35 a 39 años (026)",1,1,,,1,,,,,,,2
"Primaria (030)",1139,1129,147,125,191,198,241,142,60,25,10,3840
"De 12 a 14 años (031)",95,93,93,,,,,,,,2,
"De 15 a 19 años (032)",24,24,15,7,1,,1,,,,,13
