"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BARRANCA (000)",37725,30879,6846
"Casa independiente (001)",34846,28580,6266
"Departamento en edificio (002)",581,581,
"Vivienda en quinta (003)",738,738,
"Vivienda en casa de vecindad (004)",603,603,
"Choza o cabaña (005)",558,,558
"Vivienda improvisada (006)",324,324,
"Local no dest.para hab. humana (007)",53,45,8
"Otro tipo (008)",22,8,14
