"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCAYO (000)",120502,102258,18244
"Casa independiente (001)",105740,88236,17504
"Departamento en edificio (002)",4152,4152,
"Vivienda en quinta (003)",4188,4188,
"Vivienda en casa de vecindad (004)",5208,5208,
"Choza o cabaña (005)",714,,714
"Vivienda improvisada (006)",275,275,
"Local no dest.para hab. humana (007)",201,175,26
"Otro tipo (008)",24,24,
