"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PISCO (000)",29929,120061,25933,104909,3996,15152
"Casa independiente (001)",23255,96650,19829,83551,3426,13099
"Departamento en edificio (002)",199,661,199,661,,
"Vivienda en quinta (003)",241,751,241,751,,
"Vivienda en casa de vecindad (004)",160,556,160,556,,
"Choza o cabaña (005)",513,1850,,,513,1850
"Vivienda improvisada (006)",5348,18935,5348,18935,,
"Local no dest.para hab. humana (007)",43,133,41,124,2,9
"Otro tipo (008)",170,525,115,331,55,194
