"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCAYO (000)",356409,52208,75074,70916,57040,42747,58424
"Conviviente (001)",66072,831,13534,26605,15484,6266,3352
"Separado(a) (002)",11432,56,1004,2463,3076,2447,2386
"Casado(a) (003)",112639,121,2513,17151,29238,27715,35901
"Viudo(a) (004)",15978,6,55,327,1031,2072,12487
"Divorciado(a) (005)",2053,,46,188,433,596,790
"Soltero(a) (006)",148235,51194,57922,24182,7778,3651,3508
"Hombres (008)",166836,26046,36373,32453,25484,19194,27286
"Conviviente (009)",30992,387,4892,12180,7921,3544,2068
"Separado(a) (010)",2594,17,174,475,678,571,679
"Casado(a) (011)",53390,62,827,6812,12900,13024,19765
"Viudo(a) (012)",3725,3,15,54,182,358,3113
"Divorciado(a) (013)",779,,15,58,152,213,341
"Soltero(a) (014)",75356,25577,30450,12874,3651,1484,1320
"Mujeres (016)",189573,26162,38701,38463,31556,23553,31138
"Conviviente (017)",35080,444,8642,14425,7563,2722,1284
"Separado(a) (018)",8838,39,830,1988,2398,1876,1707
"Casado(a) (019)",59249,59,1686,10339,16338,14691,16136
"Viudo(a) (020)",12253,3,40,273,849,1714,9374
"Divorciado(a) (021)",1274,,31,130,281,383,449
"Soltero(a) (022)",72879,25617,27472,11308,4127,2167,2188
,,,,,,,
"URBANA (024)",317562,45486,67685,64107,51119,38229,50936
"Conviviente (025)",59427,716,11764,23973,14227,5732,3015
"Separado(a) (026)",10333,42,846,2224,2828,2258,2135
"Casado(a) (027)",98238,104,2050,14769,25523,24504,31288
"Viudo(a) (028)",13623,4,45,277,877,1787,10633
"Divorciado(a) (029)",1910,,40,177,404,554,735
"Soltero(a) (030)",134031,44620,52940,22687,7260,3394,3130
"Hombres (032)",148181,22684,32770,29179,22693,17039,23816
"Conviviente (033)",27808,344,4248,10842,7253,3251,1870
"Separado(a) (034)",2387,15,162,443,631,531,605
"Casado(a) (035)",46390,54,676,5776,11181,11419,17284
"Viudo(a) (036)",3070,2,13,42,144,287,2582
"Divorciado(a) (037)",727,,14,56,144,196,317
"Soltero(a) (038)",67799,22269,27657,12020,3340,1355,1158
"Mujeres (040)",169381,22802,34915,34928,28426,21190,27120
"Conviviente (041)",31619,372,7516,13131,6974,2481,1145
"Separado(a) (042)",7946,27,684,1781,2197,1727,1530
"Casado(a) (043)",51848,50,1374,8993,14342,13085,14004
"Viudo(a) (044)",10553,2,32,235,733,1500,8051
"Divorciado(a) (045)",1183,,26,121,260,358,418
"Soltero(a) (046)",66232,22351,25283,10667,3920,2039,1972
,,,,,,,
"RURAL (048)",38847,6722,7389,6809,5921,4518,7488
"Conviviente (049)",6645,115,1770,2632,1257,534,337
"Separado(a) (050)",1099,14,158,239,248,189,251
"Casado(a) (051)",14401,17,463,2382,3715,3211,4613
"Viudo(a) (052)",2355,2,10,50,154,285,1854
"Divorciado(a) (053)",143,,6,11,29,42,55
"Soltero(a) (054)",14204,6574,4982,1495,518,257,378
"Hombres (056)",18655,3362,3603,3274,2791,2155,3470
"Conviviente (057)",3184,43,644,1338,668,293,198
"Separado(a) (058)",207,2,12,32,47,40,74
"Casado(a) (059)",7000,8,151,1036,1719,1605,2481
"Viudo(a) (060)",655,1,2,12,38,71,531
"Divorciado(a) (061)",52,,1,2,8,17,24
"Soltero(a) (062)",7557,3308,2793,854,311,129,162
"Mujeres (064)",20192,3360,3786,3535,3130,2363,4018
"Conviviente (065)",3461,72,1126,1294,589,241,139
"Separado(a) (066)",892,12,146,207,201,149,177
"Casado(a) (067)",7401,9,312,1346,1996,1606,2132
"Viudo(a) (068)",1700,1,8,38,116,214,1323
"Divorciado(a) (069)",91,,5,9,21,25,31
"Soltero(a) (070)",6647,3266,2189,641,207,128,216
