"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia AMBO (000)",13219,55095,4423,18087,8796,37008
"Casa independiente (001)",12690,52892,4301,17648,8389,35244
"Departamento en edificio (002)",59,216,59,216,,
"Vivienda en quinta (003)",5,24,5,24,,
"Vivienda en casa de vecindad (004)",54,187,54,187,,
"Choza o cabaña (005)",401,1756,,,401,1756
"Local no dest.para hab. humana (007)",8,18,4,12,4,6
"Otro tipo (008)",2,2,,,2,2
