"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PUNO (000)",91602,87820,28977,12617,13233,9843,11782,6374,3260,1734,3782,208036
"De 12 a 14 años (001)",7062,7038,7020,16,2,,,,,,24,20
"De 15 a 19 años (002)",11196,11081,10314,688,65,12,2,,,,115,862
"De 20 a 24 años (003)",10686,9456,5519,2678,975,234,43,7,,,1230,5553
"De 25 a 29 años (004)",9949,8915,2425,3061,2191,831,378,21,8,,1034,11726
"De 30 a 34 años (005)",8658,8200,1133,2063,2463,1405,942,158,28,8,458,16585
"De 35 a 39 años (006)",8123,7869,596,1251,2329,1676,1493,430,76,18,254,21029
"De 40 a 44 años (007)",6952,6826,390,734,1616,1526,1628,642,222,68,126,22362
"De 45 a 49 años (008)",6080,5972,298,570,1175,1199,1514,723,358,135,108,22266
"De 50 y más años (009)",22896,22463,1282,1556,2417,2960,5782,4393,2568,1505,433,107633
"Conviviente (010)",18125,17670,2309,5712,4455,2359,1859,634,242,100,455,36945
"De 12 a 14 años (011)",37,18,13,5,,,,,,,19,5
"De 15 a 19 años (012)",1108,1017,465,503,44,5,,,,,91,606
"De 20 a 24 años (013)",3610,3459,846,1770,662,154,23,4,,,151,3676
"De 25 a 29 años (014)",4224,4132,485,1754,1256,438,187,8,4,,92,6453
"De 30 a 34 años (015)",3162,3128,217,834,1059,576,369,63,6,4,34,6753
"De 35 a 39 años (016)",2363,2338,90,430,718,515,435,127,18,5,25,6338
"De 40 a 44 años (017)",1438,1422,60,164,353,323,329,129,50,14,16,4664
"De 45 a 49 años (018)",887,879,31,117,187,160,213,105,49,17,8,3173
"De 50 y más años (019)",1296,1277,102,135,176,188,303,198,115,60,19,5277
"Separado(a) (020)",3706,3616,77,1184,889,580,542,225,89,30,90,9579
"De 12 a 14 años (021)",3,1,,1,,,,,,,2,1
