"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AMBO (000)",15878,14119,859,289,611
"Hombres (001)",12941,11607,698,240,396
"Mujeres (002)",2937,2512,161,49,215
"De 06 a 14 años (003)",346,322,23,1,
"Hombres (004)",251,235,15,1,
"Mujeres (005)",95,87,8,,
"De 15 a 29 años (006)",5022,4469,308,97,148
"Hombres (007)",4020,3605,245,85,85
"Mujeres (008)",1002,864,63,12,63
"De 30 a 44 años (009)",5175,4510,279,108,278
"Hombres (010)",4178,3693,227,88,170
"Mujeres (011)",997,817,52,20,108
"De 45 a 64 años (012)",3995,3524,216,76,179
"Hombres (013)",3307,2930,182,60,135
"Mujeres (014)",688,594,34,16,44
"De 65 y más años (015)",1340,1294,33,7,6
"Hombres (016)",1185,1144,29,6,6
"Mujeres (017)",155,150,4,1,
,,,,,
"URBANA (018)",5083,3997,391,207,488
"Hombres (019)",3683,2899,303,167,314
"Mujeres (020)",1400,1098,88,40,174
"De 06 a 14 años (021)",53,45,8,,
"Hombres (022)",36,31,5,,
"Mujeres (023)",17,14,3,,
"De 15 a 29 años (024)",1396,1099,123,62,112
"Hombres (025)",989,779,95,53,62
"Mujeres (026)",407,320,28,9,50
"De 30 a 44 años (027)",1868,1416,144,82,226
"Hombres (028)",1319,1008,107,65,139
"Mujeres (029)",549,408,37,17,87
"De 45 a 64 años (030)",1441,1132,106,58,145
"Hombres (031)",1074,834,88,44,108
"Mujeres (032)",367,298,18,14,37
"De 65 y más años (033)",325,305,10,5,5
"Hombres (034)",265,247,8,5,5
"Mujeres (035)",60,58,2,,
,,,,,
"RURAL (036)",10795,10122,468,82,123
"Hombres (037)",9258,8708,395,73,82
"Mujeres (038)",1537,1414,73,9,41
"De 06 a 14 años (039)",293,277,15,1,
"Hombres (040)",215,204,10,1,
"Mujeres (041)",78,73,5,,
"De 15 a 29 años (042)",3626,3370,185,35,36
"Hombres (043)",3031,2826,150,32,23
"Mujeres (044)",595,544,35,3,13
"De 30 a 44 años (045)",3307,3094,135,26,52
"Hombres (046)",2859,2685,120,23,31
"Mujeres (047)",448,409,15,3,21
"De 45 a 64 años (048)",2554,2392,110,18,34
"Hombres (049)",2233,2096,94,16,27
"Mujeres (050)",321,296,16,2,7
"De 65 y más años (051)",1015,989,23,2,1
"Hombres (052)",920,897,21,1,1
"Mujeres (053)",95,92,2,1,
