"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LA UNION (000)",13419,3467,2847,2983,2535,1587
"Sin nivel (001)",2525,200,193,622,776,734
"Educación inicial (002)",226,216,5,5,,
"Primaria (003)",5932,2609,720,955,999,649
"Secundaria (004)",3081,442,1446,675,415,103
"Superior no univ. incompleta (005)",297,,141,97,47,12
"Superior no univ. completa (006)",595,,173,266,113,43
"Superior univ. incompleta (007)",186,,75,62,39,10
"Superior univ. completa (008)",577,,94,301,146,36
"PEA (010)",5951,264,1411,2043,1584,649
"Sin nivel (011)",1035,22,80,315,374,244
"Educación inicial (012)",9,5,1,3,,
"Primaria (013)",2111,172,369,613,635,322
"Secundaria (014)",1540,65,636,487,306,46
"Superior no univ. incompleta (015)",207,,86,75,41,5
"Superior no univ. completa (016)",448,,125,226,81,16
"Superior univ. incompleta (017)",124,,40,51,28,5
"Superior univ. completa (018)",477,,74,273,119,11
"Ocupada (020)",5843,260,1361,2015,1564,643
"Sin nivel (021)",1019,22,78,311,368,240
"Educación inicial (022)",9,5,1,3,,
"Primaria (023)",2073,169,353,602,628,321
"Secundaria (024)",1512,64,618,481,304,45
"Superior no univ. incompleta (025)",202,,82,74,41,5
"Superior no univ. completa (026)",438,,119,224,79,16
"Superior univ. incompleta (027)",121,,38,50,28,5
"Superior univ. completa (028)",469,,72,270,116,11
"Desocupada (030)",108,4,50,28,20,6
"Sin nivel (031)",16,,2,4,6,4
"Primaria (033)",38,3,16,11,7,1
