"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAURA (000)",77761,50520,8949,8120,10172
"Agric., ganadería, caza y silvicultura (001)",19688,12862,3023,2173,1630
"Pesca (002)",1463,864,267,240,92
"Explotación de minas y canteras (003)",162,25,20,44,73
"Industrias manufactureras (004)",5362,3085,621,596,1060
"Suministro de electricidad, gas y agua (005)",159,26,19,67,47
"Construcción (006)",4005,2925,640,301,139
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",15748,13892,1064,636,156
"Venta, mant.y rep. veh.autom y motoc. (008)",1431,1038,239,97,57
"Comercio al por mayor (009)",941,550,122,170,99
"Comercio al por menor (010)",13376,12304,703,369,
"Hoteles y restaurantes (011)",3990,3307,482,163,38
"Trans., almac. y comunicaciones (012)",6793,5278,568,566,381
"Intermediación financiera (013)",462,65,39,246,112
"Activid.inmobil., empres. y alquileres (014)",4089,2016,643,725,705
"Admin.pub. y defensa; p. segur soc.afil (015)",2354,,,,2354
"Enseñanza (016)",5486,797,881,1825,1983
"Servicios sociales y de salud (017)",1662,359,88,86,1129
"Otras activ. serv.comun.soc y personales (018)",2408,1681,364,252,111
"Hogares privados con servicio doméstico (019)",2125,2125,,,
"Actividad economica no especificada (021)",1805,1213,230,200,162
"Hombres (022)",51264,33035,6336,5445,6448
"Agric., ganadería, caza y silvicultura (023)",15732,10570,2280,1597,1285
"Pesca (024)",1404,837,258,227,82
"Explotación de minas y canteras (025)",155,24,19,40,72
"Industrias manufactureras (026)",4161,2410,489,488,774
"Suministro de electricidad, gas y agua (027)",139,21,18,62,38
"Construcción (028)",3920,2871,627,293,129
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",8077,6824,691,432,130
"Venta, mant.y rep. veh.autom y motoc. (030)",1327,969,219,83,56
"Comercio al por mayor (031)",622,331,85,132,74
"Comercio al por menor (032)",6128,5524,387,217,
"Hoteles y restaurantes (033)",1304,967,234,87,16
"Trans., almac. y comunicaciones (034)",6316,4980,509,502,325
"Intermediación financiera (035)",261,45,18,137,61
"Activid.inmobil., empres. y alquileres (036)",3048,1490,482,546,530
"Admin.pub. y defensa; p. segur soc.afil (037)",1528,,,,1528
"Enseñanza (038)",2297,299,314,719,965
"Servicios sociales y de salud (039)",528,134,27,30,337
