"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",32666,1478,11900,10321,7157,1810
"Agric., ganadería, caza y silvicultura (001)",25091,1340,9455,7414,5412,1470
"Pesca (002)",3,,1,1,1,
"Explotación de minas y canteras (003)",4,,2,1,,1
"Industrias manufactureras (004)",502,9,135,183,132,43
"Suministro de electricidad, gas y agua (005)",39,,18,9,12,
"Construcción (006)",739,7,284,307,126,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1702,45,456,657,428,116
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,,41,24,13,1
"Comercio al por mayor (009)",125,6,32,52,28,7
"Comercio al por menor (010)",1498,39,383,581,387,108
"Hoteles y restaurantes (011)",459,24,126,174,114,21
"Trans., almac. y comunicaciones (012)",655,3,306,226,114,6
"Intermediación financiera (013)",26,,10,14,2,
"Activid.inmobil., empres. y alquileres (014)",139,4,69,43,19,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",429,,158,180,87,4
"Enseñanza (016)",848,,119,491,237,1
"Servicios sociales y de salud (017)",215,,49,95,66,5
"Otras activ. serv.comun.soc y personales (018)",179,,69,65,38,7
"Hogares privados con servicio doméstico (019)",944,41,398,252,200,53
"Actividad economica no especificada (021)",692,5,245,209,169,64
"Hombres (022)",23680,1014,8841,7409,5069,1347
"Agric., ganadería, caza y silvicultura (023)",19710,961,7555,5838,4168,1188
"Pesca (024)",3,,1,1,1,
"Explotación de minas y canteras (025)",4,,2,1,,1
"Industrias manufactureras (026)",368,6,115,130,86,31
"Suministro de electricidad, gas y agua (027)",38,,17,9,12,
"Construcción (028)",723,6,274,303,125,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",846,25,230,304,218,69
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,,39,21,12,1
"Comercio al por mayor (031)",60,2,15,25,16,2
"Comercio al por menor (032)",713,23,176,258,190,66
"Hoteles y restaurantes (033)",76,8,20,23,20,5
"Trans., almac. y comunicaciones (034)",621,2,279,223,111,6
"Intermediación financiera (035)",15,,6,8,1,
"Activid.inmobil., empres. y alquileres (036)",106,,55,33,14,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",304,,97,131,72,4
"Enseñanza (038)",448,,54,258,135,1
"Servicios sociales y de salud (039)",102,,18,40,42,2
"Otras activ. serv.comun.soc y personales (040)",130,,46,52,27,5
