"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia YAUYOS (000)",12650,82,1006,318,319,804,4381,1076,739,3602,49,274
"Agric., ganadería, caza y silvicultura (001)",6837,,3,7,1,,4369,1,3,2453,,
"Pesca (002)",19,,1,,,,12,,,6,,
"Explotación de minas y canteras (003)",1569,,56,115,38,7,,824,70,459,,
"Industrias manufactureras (004)",251,,2,5,1,14,,156,72,1,,
"Suministro de electricidad, gas y agua (005)",315,1,9,34,26,,,28,173,44,,
"Construcción (006)",515,,14,29,9,,,34,246,183,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",706,,2,10,3,567,,21,2,101,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,,,,,1,,17,,,,
"Comercio al por mayor (009)",24,,,,2,20,,,1,1,,
"Comercio al por menor (010)",664,,2,10,1,546,,4,1,100,,
"Hoteles y restaurantes (011)",255,,7,28,,166,,,,54,,
"Trans., almac. y comunicaciones (012)",212,,,3,5,2,,5,153,44,,
"Intermediación financiera (013)",6,,4,1,,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",88,,14,8,18,29,,1,3,15,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",439,69,33,25,185,1,,3,13,61,49,
"Enseñanza (016)",837,12,793,2,22,,,,,8,,
"Servicios sociales y de salud (017)",101,,46,35,2,4,,,4,10,,
"Otras activ. serv.comun.soc y personales (018)",102,,22,15,7,14,,3,,41,,
"Hogares privados con servicio doméstico (019)",121,,,,,,,,,121,,
"Actividad economica no especificada (021)",277,,,1,2,,,,,,,274
"Hombres (022)",8484,65,567,255,199,319,3174,1044,704,2016,48,93
