"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARHUAZ (000)",12889,10971,833,441,644
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,3,4,42
"Profes., científicos e intelectuales (002)",682,208,161,189,124
"Técnicos de nivel medio y trab. asimilados (003)",251,124,26,28,73
"Jefes y empleados de oficina (004)",274,56,36,23,159
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1094,1011,56,17,10
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5025,4922,103,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",600,466,81,29,24
"Obreros construc.,conf.,papel, fab., instr. (008)",786,606,102,41,37
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3801,3306,253,102,140
"Otra (010)",33,,,,33
"Ocupación no especificada (011)",294,272,12,8,2
"Hombres (012)",9533,8094,660,330,449
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",41,,1,4,36
"Profes., científicos e intelectuales (014)",391,110,96,123,62
"Técnicos de nivel medio y trab. asimilados (015)",175,99,24,21,31
"Jefes y empleados de oficina (016)",163,33,23,13,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",411,353,38,12,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4534,4441,93,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",505,386,69,26,24
"Obreros construc.,conf.,papel, fab., instr. (020)",773,599,98,40,36
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2416,1993,213,86,124
"Otra (022)",33,,,,33
"Ocupación no especificada (023)",91,80,5,5,1
"Mujeres (024)",3356,2877,173,111,195
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,2,,6
"Profes., científicos e intelectuales (026)",291,98,65,66,62
"Técnicos de nivel medio y trab. asimilados (027)",76,25,2,7,42
"Jefes y empleados de oficina (028)",111,23,13,10,65
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",683,658,18,5,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",491,481,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",95,80,12,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",13,7,4,1,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1385,1313,40,16,16
