"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLOGNESI (000)",10942,10619,2944,1317,1354,1142,1762,1076,602,422,323,31956
"De 12 a 14 años (001)",988,984,979,5,,,,,,,4,5
"De 15 a 19 años (002)",1256,1237,1090,123,21,,3,,,,19,177
"De 20 a 24 años (003)",1161,1051,393,387,209,48,12,2,,,110,1010
"De 25 a 29 años (004)",1053,981,145,301,273,159,92,10,1,,72,1787
"De 30 a 34 años (005)",960,912,96,146,225,197,187,51,8,2,48,2405
"De 35 a 39 años (006)",939,917,51,95,186,189,264,95,29,8,22,3121
"De 40 a 44 años (007)",793,781,42,58,107,139,224,137,49,25,12,3238
"De 45 a 49 años (008)",662,654,19,41,71,85,185,140,70,43,8,3217
"De 50 y más años (009)",3130,3102,129,161,262,325,795,641,445,344,28,16996
"Sin nivel (010)",1801,1779,152,104,167,182,414,335,232,193,22,9130
"De 12 a 14 años (011)",22,22,22,,,,,,,,,
"De 15 a 19 años (012)",29,29,23,3,3,,,,,,,9
"De 20 a 24 años (013)",51,48,24,11,9,3,1,,,,3,42
"De 25 a 29 años (014)",49,46,7,9,12,7,6,4,1,,3,113
"De 30 a 34 años (015)",111,110,7,8,19,31,31,12,2,,1,364
"De 35 a 39 años (016)",112,110,5,5,17,14,32,23,11,3,2,492
"De 40 a 44 años (017)",130,128,18,4,8,18,32,25,14,9,2,591
"De 45 a 49 años (018)",123,122,3,7,8,13,24,37,18,12,1,693
"De 50 y más años (019)",1174,1164,43,57,91,96,288,234,186,169,10,6826
"Educacion Inicial (020)",109,106,44,13,17,13,12,7,,,3,182
"De 12 a 14 años (021)",30,29,28,1,,,,,,,1,1
"De 15 a 19 años (022)",11,11,8,3,,,,,,,,3
