"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHOTA (000)",150794,6897,17984,20426,15926,24191,21055,31786,12529
"Sabe leer y escribir (001)",115389,,12797,20148,15468,22337,17778,21270,5591
"No sabe leer y escribir (002)",35405,6897,5187,278,458,1854,3277,10516,6938
"Hombres (004)",73069,3452,9112,10312,7937,11397,9832,14979,6048
"Sabe leer y escribir (005)",61819,,6464,10191,7787,10950,9208,13011,4208
"No sabe leer y escribir (006)",11250,3452,2648,121,150,447,624,1968,1840
"Mujeres (008)",77725,3445,8872,10114,7989,12794,11223,16807,6481
"Sabe leer y escribir (009)",53570,,6333,9957,7681,11387,8570,8259,1383
"No sabe leer y escribir (010)",24155,3445,2539,157,308,1407,2653,8548,5098
,,,,,,,,,
"URBANA (012)",30626,1098,3071,3635,3353,4999,4852,7260,2358
"Sabe leer y escribir (013)",26606,,2416,3606,3316,4870,4604,6252,1542
"No sabe leer y escribir (014)",4020,1098,655,29,37,129,248,1008,816
"Hombres (016)",14944,548,1576,1867,1630,2271,2267,3616,1169
"Sabe leer y escribir (017)",13625,,1235,1853,1621,2235,2218,3457,1006
"No sabe leer y escribir (018)",1319,548,341,14,9,36,49,159,163
"Mujeres (020)",15682,550,1495,1768,1723,2728,2585,3644,1189
"Sabe leer y escribir (021)",12981,,1181,1753,1695,2635,2386,2795,536
"No sabe leer y escribir (022)",2701,550,314,15,28,93,199,849,653
,,,,,,,,,
"RURAL (024)",120168,5799,14913,16791,12573,19192,16203,24526,10171
"Sabe leer y escribir (025)",88783,,10381,16542,12152,17467,13174,15018,4049
"No sabe leer y escribir (026)",31385,5799,4532,249,421,1725,3029,9508,6122
"Hombres (028)",58125,2904,7536,8445,6307,9126,7565,11363,4879
"Sabe leer y escribir (029)",48194,,5229,8338,6166,8715,6990,9554,3202
"No sabe leer y escribir (030)",9931,2904,2307,107,141,411,575,1809,1677
"Mujeres (032)",62043,2895,7377,8346,6266,10066,8638,13163,5292
"Sabe leer y escribir (033)",40589,,5152,8204,5986,8752,6184,5464,847
"No sabe leer y escribir (034)",21454,2895,2225,142,280,1314,2454,7699,4445
