"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUYA (000)",15711,14003,664,175,869
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",65,,2,2,61
"Profes., científicos e intelectuales (002)",920,232,157,105,426
"Técnicos de nivel medio y trab. asimilados (003)",172,45,14,7,106
"Jefes y empleados de oficina (004)",153,17,6,9,121
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",726,709,12,2,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7525,7358,162,2,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",426,401,12,8,5
"Obreros construc.,conf.,papel, fab., instr. (008)",396,326,56,8,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4737,4389,228,28,92
"Otra (010)",41,,,,41
"Ocupación no especificada (011)",550,526,15,4,5
"Hombres (012)",12650,11531,519,111,489
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,,2,1,46
"Profes., científicos e intelectuales (014)",476,103,93,63,217
"Técnicos de nivel medio y trab. asimilados (015)",90,30,10,6,44
"Jefes y empleados de oficina (016)",71,8,2,5,56
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",256,249,4,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7293,7129,159,2,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",244,228,6,5,5
"Obreros construc.,conf.,papel, fab., instr. (020)",379,311,54,8,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3652,3377,188,20,67
"Otra (022)",41,,,,41
"Ocupación no especificada (023)",99,96,1,,2
"Mujeres (024)",3061,2472,145,64,380
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",16,,,1,15
"Profes., científicos e intelectuales (026)",444,129,64,42,209
"Técnicos de nivel medio y trab. asimilados (027)",82,15,4,1,62
"Jefes y empleados de oficina (028)",82,9,4,4,65
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",470,460,8,1,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",232,229,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",182,173,6,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",17,15,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1085,1012,40,8,25
