"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAU (000)",5790,3817,823,176,974
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",53,,1,,52
"Profes., científicos e intelectuales (002)",689,108,101,44,436
"Técnicos de nivel medio y trab. asimilados (003)",100,27,8,5,60
"Jefes y empleados de oficina (004)",152,13,6,1,132
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",385,351,14,2,18
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2022,1718,303,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",368,262,35,18,53
"Obreros construc.,conf.,papel, fab., instr. (008)",261,162,37,19,43
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1589,1058,291,82,158
"Otra (010)",20,,,,20
"Ocupación no especificada (011)",151,118,27,4,2
"Hombres (012)",4236,2736,676,136,688
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,,,,43
"Profes., científicos e intelectuales (014)",432,64,74,30,264
"Técnicos de nivel medio y trab. asimilados (015)",65,17,7,5,36
"Jefes y empleados de oficina (016)",108,9,4,1,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",119,105,3,,11
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1765,1481,283,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",313,216,28,17,52
"Obreros construc.,conf.,papel, fab., instr. (020)",256,159,37,18,42
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1038,626,224,63,125
"Otra (022)",20,,,,20
"Ocupación no especificada (023)",77,59,16,1,1
"Mujeres (024)",1554,1081,147,40,286
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",10,,1,,9
"Profes., científicos e intelectuales (026)",257,44,27,14,172
"Técnicos de nivel medio y trab. asimilados (027)",35,10,1,,24
"Jefes y empleados de oficina (028)",44,4,2,,38
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",266,246,11,2,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",257,237,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",55,46,7,1,1
"Obreros construc.,conf.,papel, fab., instr. (032)",5,3,,1,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",551,432,67,19,33
"Ocupación no especificada (035)",74,59,11,3,1
