"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",1043,21,558,304,127,33
"Conviviente (001)",333,,126,152,50,5
"Separado(a) (002)",18,,9,6,3,
"Casado(a) (003)",191,,34,78,60,19
"Viudo(a) (004)",12,,,2,7,3
"Divorciado(a) (005)",2,,1,1,,
"Soltero(a) (006)",487,21,388,65,7,6
"Hombres (008)",879,16,449,265,118,31
"Conviviente (009)",313,,120,142,46,5
"Separado(a) (010)",6,,3,1,2,
"Casado(a) (011)",171,,26,68,58,19
"Viudo(a) (012)",10,,,1,6,3
"Divorciado(a) (013)",1,,1,,,
"Soltero(a) (014)",378,16,299,53,6,4
"Mujeres (016)",164,5,109,39,9,2
"Conviviente (017)",20,,6,10,4,
"Separado(a) (018)",12,,6,5,1,
"Casado(a) (019)",20,,8,10,2,
"Viudo(a) (020)",2,,,1,1,
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",109,5,89,12,1,2
,,,,,,
"AREA URBANA (024)",538,5,278,168,69,18
"Conviviente (025)",173,,67,82,21,3
"Separado(a) (026)",11,,4,5,2,
"Casado(a) (027)",102,,10,42,40,10
"Viudo(a) (028)",2,,,1,1,
"Soltero(a) (030)",250,5,197,38,5,5
"Hombres (032)",454,4,226,142,66,16
"Conviviente (033)",162,,64,75,20,3
"Separado(a) (034)",3,,2,,1,
"Casado(a) (035)",93,,7,37,39,10
"Viudo(a) (036)",1,,,,1,
"Soltero(a) (038)",195,4,153,30,5,3
"Mujeres (040)",84,1,52,26,3,2
"Conviviente (041)",11,,3,7,1,
"Separado(a) (042)",8,,2,5,1,
"Casado(a) (043)",9,,3,5,1,
"Viudo(a) (044)",1,,,1,,
"Soltero(a) (046)",55,1,44,8,,2
,,,,,,
"AREA RURAL (048)",505,16,280,136,58,15
"Conviviente (049)",160,,59,70,29,2
"Separado(a) (050)",7,,5,1,1,
"Casado(a) (051)",89,,24,36,20,9
"Viudo(a) (052)",10,,,1,6,3
"Divorciado(a) (053)",2,,1,1,,
"Soltero(a) (054)",237,16,191,27,2,1
"Hombres (056)",425,12,223,123,52,15
"Conviviente (057)",151,,56,67,26,2
"Separado(a) (058)",3,,1,1,1,
"Casado(a) (059)",78,,19,31,19,9
"Viudo(a) (060)",9,,,1,5,3
"Divorciado(a) (061)",1,,1,,,
"Soltero(a) (062)",183,12,146,23,1,1
"Mujeres (064)",80,4,57,13,6,
"Conviviente (065)",9,,3,3,3,
"Separado(a) (066)",4,,4,,,
"Casado(a) (067)",11,,5,5,1,
"Viudo(a) (068)",1,,,,1,
"Divorciado(a) (069)",1,,,1,,
"Soltero(a) (070)",54,4,45,4,1,
