"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TRUJILLO (000)",314322,990,40211,23343,18184,62336,6894,45565,42324,67013,1804,5658
"Agric., ganadería, caza y silvicultura (001)",15402,22,455,396,230,,6722,63,151,7363,,
"Pesca (002)",696,,62,30,17,,172,6,7,402,,
"Explotación de minas y canteras (003)",1824,8,299,225,144,2,,685,140,321,,
"Industrias manufactureras (004)",44066,65,1128,1995,1181,254,,34190,3078,2175,,
"Suministro de electricidad, gas y agua (005)",896,5,125,145,176,,,159,121,165,,
"Construcción (006)",23847,60,1156,966,240,,,1589,14900,4936,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",79438,139,1766,4753,1502,46153,,8308,1122,15695,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",8677,19,245,552,184,1336,,5300,641,400,,
"Comercio al por mayor (009)",4719,40,323,904,358,2512,,32,107,443,,
"Comercio al por menor (010)",66042,80,1198,3297,960,42305,,2976,374,14852,,
"Hoteles y restaurantes (011)",18793,42,237,956,893,10841,,36,21,5767,,
"Trans., almac. y comunicaciones (012)",34014,76,597,1519,2031,182,,220,21947,7442,,
"Intermediación financiera (013)",3163,30,444,783,1805,,,5,10,86,,
"Activid.inmobil., empres. y alquileres (014)",21489,61,6888,5573,4028,2454,,185,339,1961,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",9339,103,1617,662,3187,366,,26,308,1266,1804,
"Enseñanza (016)",21873,366,19805,336,924,,,8,28,406,,
