"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHEPEN (000)",21449,20206,64,4679,4821,3781,3929,1861,787,284,1243,64493
"De 12 a 14 años (001)",28,11,1,9,1,,,,,,17,11
"De 15 a 19 años (002)",560,480,3,428,42,7,,,,,80,533
"De 20 a 24 años (003)",2048,1693,8,1144,438,78,21,4,,,355,2366
"De 25 a 29 años (004)",2532,2228,7,984,807,327,102,1,,,304,4011
"De 30 a 34 años (005)",2686,2525,9,679,944,578,282,29,4,,161,5712
"De 35 a 39 años (006)",2652,2579,7,436,825,711,523,65,12,,73,6981
"De 40 a 44 años (007)",2373,2302,2,287,625,633,543,177,31,4,71,7209
"De 45 a 49 años (008)",1961,1900,3,193,411,444,585,199,49,16,61,6767
"De 50 y más años (009)",6609,6488,24,519,728,1003,1873,1386,691,264,121,30903
"Sin nivel (010)",3573,3492,13,332,439,527,972,739,329,141,81,16187
"De 12 a 14 años (011)",7,6,,5,1,,,,,,1,7
"De 15 a 19 años (012)",24,20,,18,1,1,,,,,4,23
"De 20 a 24 años (013)",101,88,,58,20,6,3,1,,,13,135
"De 25 a 29 años (014)",120,111,1,32,39,27,11,1,,,9,244
"De 30 a 34 años (015)",256,248,1,33,80,75,49,10,,,8,692
"De 35 a 39 años (016)",285,277,2,27,55,87,92,11,3,,8,895
"De 40 a 44 años (017)",310,305,,26,46,69,95,54,14,1,5,1218
"De 45 a 49 años (018)",329,325,,16,42,47,123,67,22,8,4,1478
"De 50 y más años (019)",2141,2112,9,117,155,215,599,595,290,132,29,11495
"Educacion Inicial (020)",34,33,,11,10,5,6,1,,,1,78
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
