"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANDIA (000)",20751,20230,6543,2580,2455,2104,3100,1959,1007,482,521,53905
"De 12 a 14 años (001)",2250,2232,2221,8,3,,,,,,18,14
"De 15 a 19 años (002)",2907,2865,2484,340,36,5,,,,,42,427
"De 20 a 24 años (003)",2459,2272,900,812,409,115,34,2,,,187,2130
"De 25 a 29 años (004)",2401,2260,330,658,640,390,221,18,3,,141,4188
"De 30 a 34 años (005)",2016,1959,170,270,513,446,455,93,11,1,57,5309
"De 35 a 39 años (006)",1999,1975,98,157,350,393,653,260,55,9,24,7129
"De 40 a 44 años (007)",1643,1631,81,86,166,229,553,347,133,36,12,7279
"De 45 a 49 años (008)",1306,1298,44,63,99,166,371,328,176,51,8,6564
"De 50 y más años (009)",3770,3738,215,186,239,360,813,911,629,385,32,20865
"Conviviente (010)",6766,6648,706,1701,1509,1007,1087,423,177,38,118,17091
"De 12 a 14 años (011)",25,9,6,2,1,,,,,,16,4
"De 15 a 19 años (012)",511,473,189,247,33,4,,,,,38,325
"De 20 a 24 años (013)",1388,1356,246,646,349,85,28,2,,,32,1726
"De 25 a 29 años (014)",1577,1561,113,479,510,295,155,8,1,,16,3099
"De 30 a 34 años (015)",1128,1124,47,166,326,258,274,45,7,1,4,3129
"De 35 a 39 años (016)",915,909,39,79,173,194,286,110,26,2,6,3205
"De 40 a 44 años (017)",528,526,26,30,64,77,176,104,42,7,2,2258
"De 45 a 49 años (018)",312,312,14,19,22,50,74,74,48,11,,1546
"De 50 y más años (019)",382,378,26,33,31,44,94,80,53,17,4,1799
"Separado(a) (020)",622,611,30,208,130,87,90,40,13,13,11,1631
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",34,33,1,32,,,,,,,1,32
