"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAYTARA (000)",11741,3086,8655
"Casa independiente (001)",9163,2993,6170
"Departamento en edificio (002)",12,12,
"Vivienda en quinta (003)",20,20,
"Vivienda en casa de vecindad (004)",55,55,
"Choza o cabaña (005)",2473,,2473
"Vivienda improvisada (006)",3,3,
"Local no dest.para hab. humana (007)",11,2,9
"Otro tipo (008)",4,1,3
