"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TALARA (000)",121206,5254,11197,13489,12573,22668,17532,31025,7468
"Sabe leer y escribir (001)",112060,,9160,13365,12488,22458,17361,30437,6791
"No sabe leer y escribir (002)",9146,5254,2037,124,85,210,171,588,677
"Hombres (004)",60813,2673,5645,6940,6311,11317,8452,15819,3656
"Sabe leer y escribir (005)",56387,,4574,6879,6258,11206,8371,15642,3457
"No sabe leer y escribir (006)",4426,2673,1071,61,53,111,81,177,199
"Mujeres (008)",60393,2581,5552,6549,6262,11351,9080,15206,3812
"Sabe leer y escribir (009)",55673,,4586,6486,6230,11252,8990,14795,3334
"No sabe leer y escribir (010)",4720,2581,966,63,32,99,90,411,478
,,,,,,,,,
"URBANA (012)",118842,5154,10996,13261,12319,22125,17151,30481,7355
"Sabe leer y escribir (013)",109945,,9021,13142,12236,21930,16987,29931,6698
"No sabe leer y escribir (014)",8897,5154,1975,119,83,195,164,550,657
"Hombres (016)",59506,2625,5544,6821,6166,11035,8225,15503,3587
"Sabe leer y escribir (017)",55199,,4511,6761,6114,10931,8147,15338,3397
"No sabe leer y escribir (018)",4307,2625,1033,60,52,104,78,165,190
"Mujeres (020)",59336,2529,5452,6440,6153,11090,8926,14978,3768
"Sabe leer y escribir (021)",54746,,4510,6381,6122,10999,8840,14593,3301
"No sabe leer y escribir (022)",4590,2529,942,59,31,91,86,385,467
,,,,,,,,,
"RURAL (024)",2364,100,201,228,254,543,381,544,113
"Sabe leer y escribir (025)",2115,,139,223,252,528,374,506,93
"No sabe leer y escribir (026)",249,100,62,5,2,15,7,38,20
"Hombres (028)",1307,48,101,119,145,282,227,316,69
"Sabe leer y escribir (029)",1188,,63,118,144,275,224,304,60
"No sabe leer y escribir (030)",119,48,38,1,1,7,3,12,9
"Mujeres (032)",1057,52,100,109,109,261,154,228,44
"Sabe leer y escribir (033)",927,,76,105,108,253,150,202,33
"No sabe leer y escribir (034)",130,52,24,4,1,8,4,26,11
