"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CALCA (000)",21690,2372,2159,12153,703,4011,292
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,35,,,3,,
"Profes., científicos e intelectuales (002)",1107,870,,220,9,8,
"Técnicos de nivel medio y trab. asimilados (003)",416,213,,174,28,1,
"Jefes y empleados de oficina (004)",250,249,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2434,379,13,1700,48,294,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",8053,,6,7551,496,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",983,,167,705,43,68,
"Obreros construc.,conf.,papel, fab., instr. (008)",1771,185,546,949,43,48,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5930,262,1354,562,4,3456,292
"Otra (010)",74,74,,,,,
"Ocupación no especificada (011)",634,105,73,292,29,135,
"Hombres (012)",15041,1362,1913,9077,558,2072,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,29,,,2,,
"Profes., científicos e intelectuales (014)",533,411,,113,4,5,
"Técnicos de nivel medio y trab. asimilados (015)",251,130,,105,16,,
"Jefes y empleados de oficina (016)",153,152,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",772,177,7,519,14,55,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7197,,6,6752,439,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",649,,148,435,28,38,
"Obreros construc.,conf.,papel, fab., instr. (020)",1541,184,527,761,36,33,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3521,145,1160,257,,1900,59
"Otra (022)",73,73,,,,,
"Ocupación no especificada (023)",320,61,65,135,19,40,
"Mujeres (024)",6649,1010,246,3076,145,1939,233
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,6,,,1,,
"Profes., científicos e intelectuales (026)",574,459,,107,5,3,
"Técnicos de nivel medio y trab. asimilados (027)",165,83,,69,12,1,
"Jefes y empleados de oficina (028)",97,97,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1662,202,6,1181,34,239,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",856,,,799,57,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",334,,19,270,15,30,
"Obreros construc.,conf.,papel, fab., instr. (032)",230,1,19,188,7,15,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2409,117,194,305,4,1556,233
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",314,44,8,157,10,95,
,,,,,,,
"URBANA (036)",8795,1918,1029,4707,178,745,218
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",29,26,,,3,,
"Profes., científicos e intelectuales (038)",895,711,,169,9,6,
"Técnicos de nivel medio y trab. asimilados (039)",345,175,,152,17,1,
"Jefes y empleados de oficina (040)",213,212,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2038,301,8,1434,39,256,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1427,,,1380,47,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",620,,106,435,34,45,
"Obreros construc.,conf.,papel, fab., instr. (044)",1220,147,330,685,24,34,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1724,208,558,364,2,374,218
"Otra (046)",70,70,,,,,
"Ocupación no especificada (047)",214,68,27,88,3,28,
"Hombres (048)",5361,1090,912,2856,110,353,40
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",24,22,,,2,,
"Profes., científicos e intelectuales (050)",426,325,,93,4,4,
"Técnicos de nivel medio y trab. asimilados (051)",215,110,,94,11,,
"Jefes y empleados de oficina (052)",128,127,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",655,143,3,451,12,46,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1224,,,1185,39,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",477,,95,330,23,29,
"Obreros construc.,conf.,papel, fab., instr. (056)",1049,146,317,545,18,23,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",977,109,473,116,,239,40
"Otra (058)",69,69,,,,,
"Ocupación no especificada (059)",117,39,24,42,1,11,
"Mujeres (060)",3434,828,117,1851,68,392,178
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",5,4,,,1,,
"Profes., científicos e intelectuales (062)",469,386,,76,5,2,
"Técnicos de nivel medio y trab. asimilados (063)",130,65,,58,6,1,
"Jefes y empleados de oficina (064)",85,85,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1383,158,5,983,27,210,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",203,,,195,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",143,,11,105,11,16,
"Obreros construc.,conf.,papel, fab., instr. (068)",171,1,13,140,6,11,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",747,99,85,248,2,135,178
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",97,29,3,46,2,17,
,,,,,,,
"RURAL (072)",12895,454,1130,7446,525,3266,74
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,9,,,,,
"Profes., científicos e intelectuales (074)",212,159,,51,,2,
"Técnicos de nivel medio y trab. asimilados (075)",71,38,,22,11,,
"Jefes y empleados de oficina (076)",37,37,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",396,78,5,266,9,38,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",6626,,6,6171,449,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",363,,61,270,9,23,
"Obreros construc.,conf.,papel, fab., instr. (080)",551,38,216,264,19,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",4206,54,796,198,2,3082,74
"Otra (082)",4,4,,,,,
"Ocupación no especificada (083)",420,37,46,204,26,107,
"Hombres (084)",9680,272,1001,6221,448,1719,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",107,86,,20,,1,
"Técnicos de nivel medio y trab. asimilados (087)",36,20,,11,5,,
"Jefes y empleados de oficina (088)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",117,34,4,68,2,9,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",5973,,6,5567,400,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",172,,53,105,5,9,
"Obreros construc.,conf.,papel, fab., instr. (092)",492,38,210,216,18,10,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2544,36,687,141,,1661,19
"Otra (094)",4,4,,,,,
"Ocupación no especificada (095)",203,22,41,93,18,29,
"Mujeres (096)",3215,182,129,1225,77,1547,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
