"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ANTA (000)",13659,54165,4777,18847,8882,35318
"Casa independiente (001)",13220,52585,4753,18747,8467,33838
"Vivienda en quinta (003)",3,10,3,10,,
"Vivienda en casa de vecindad (004)",16,78,16,78,,
"Choza o cabaña (005)",408,1469,,,408,1469
"Local no dest.para hab. humana (007)",8,11,2,2,6,9
"Otro tipo (008)",4,12,3,10,1,2
