"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia COTABAMBAS (000)",7522,4915,1267,469,871
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,9,2,23
"Profes., científicos e intelectuales (002)",952,275,261,211,205
"Técnicos de nivel medio y trab. asimilados (003)",159,51,19,21,68
"Jefes y empleados de oficina (004)",170,18,8,9,135
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",445,367,21,11,46
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2056,1758,298,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",390,204,29,28,129
"Obreros construc.,conf.,papel, fab., instr. (008)",470,248,78,49,95
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2479,1738,492,119,130
"Otra (010)",30,,,,30
"Ocupación no especificada (011)",337,256,52,19,10
"Hombres (012)",5534,3550,941,343,700
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,6,1,18
"Profes., científicos e intelectuales (014)",573,159,150,133,131
"Técnicos de nivel medio y trab. asimilados (015)",101,32,9,17,43
"Jefes y empleados de oficina (016)",111,6,5,6,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",162,114,4,5,39
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1839,1581,258,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",323,148,23,25,127
"Obreros construc.,conf.,papel, fab., instr. (020)",453,240,75,45,93
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1717,1128,374,98,117
"Otra (022)",30,,,,30
"Ocupación no especificada (023)",200,142,37,13,8
"Mujeres (024)",1988,1365,326,126,171
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,3,1,5
"Profes., científicos e intelectuales (026)",379,116,111,78,74
"Técnicos de nivel medio y trab. asimilados (027)",58,19,10,4,25
"Jefes y empleados de oficina (028)",59,12,3,3,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",283,253,17,6,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",217,177,40,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",67,56,6,3,2
"Obreros construc.,conf.,papel, fab., instr. (032)",17,8,3,4,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",762,610,118,21,13
