"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDESUYOS (000)",8408,620,2,2053,3129,617,1025,298,664
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",25,,,3,4,1,8,2,7
"Profes., científicos e intelectuales (002)",460,,,,13,19,117,24,287
"Técnicos de nivel medio ytrab.asimilados (003)",256,1,,2,57,42,111,8,35
"Jefes y empleados de oficina (004)",201,,,3,54,30,64,9,41
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",615,31,,148,228,80,76,23,29
"Agricult.trabaj. calif.agrop. y pesquros (006)",1537,235,,645,381,69,83,44,80
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2632,46,,457,1418,175,324,111,101
"Obreros. construc., conf., papel, fab., instr (008)",375,8,,67,167,34,56,18,25
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2137,279,1,686,765,145,154,56,51
"Otra (010)",37,,,,3,9,20,2,3
"Ocupación no especificada (011)",133,20,1,42,39,13,12,1,5
"Hombres (012)",6179,216,2,1358,2620,482,741,254,506
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",21,,,1,3,1,7,2,7
"Profes., científicos e intelectuales (014)",241,,,,7,7,44,13,170
"Técnicos de nivel medio ytrab.asimilados (015)",188,,,1,47,30,72,8,30
"Jefes y empleados de oficina (016)",124,,,2,42,18,22,6,34
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",206,3,,28,83,29,32,16,15
"Agricult.trabaj. calif.agrop. y pesquros (018)",1108,85,,469,314,61,60,41,78
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2492,29,,415,1366,169,306,108,99
"Obreros. construc., conf., papel, fab., instr (020)",368,7,,63,167,34,55,17,25
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1333,88,1,367,561,116,116,41,43
"Otra (022)",37,,,,3,9,20,2,3
"Ocupación no especificada (023)",61,4,1,12,27,8,7,,2
"Mujeres (024)",2229,404,,695,509,135,284,44,158
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",4,,,2,1,,1,,
"Profes., científicos e intelectuales (026)",219,,,,6,12,73,11,117
"Técnicos de nivel medio ytrab.asimilados (027)",68,1,,1,10,12,39,,5
"Jefes y empleados de oficina (028)",77,,,1,12,12,42,3,7
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",409,28,,120,145,51,44,7,14
"Agricult.trabaj. calif.agrop. y pesquros (030)",429,150,,176,67,8,23,3,2
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",140,17,,42,52,6,18,3,2
"Obreros. construc., conf., papel, fab., instr (032)",7,1,,4,,,1,1,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",804,191,,319,204,29,38,15,8
"Ocupación no especificada (035)",72,16,,30,12,5,5,1,3
,,,,,,,,,
"URBANA (036)",3219,217,,675,1092,269,519,118,329
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",18,,,2,2,1,6,2,5
"Profes., científicos e intelectuales (038)",299,,,,10,14,86,13,176
