"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHINCHA (000)",74839,18541,27598,24009,1023,2075,1593
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",164,147,,,17,,
"Profes., científicos e intelectuales (002)",6996,6264,,642,71,19,
"Técnicos de nivel medio y trab. asimilados (003)",4198,3211,,822,150,11,4
"Jefes y empleados de oficina (004)",2930,2893,,24,,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",10000,2759,192,5924,243,878,4
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4430,45,113,4061,211,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",13833,,11043,2563,152,75,
"Obreros construc.,conf., papel, fab., instr. (008)",10333,707,3986,5458,113,69,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",19314,1545,11173,4084,42,885,1585
"Otra (010)",526,526,,,,,
"Ocupación no especificada (011)",2115,444,1091,431,24,125,
"Hombres (012)",48544,10776,19992,16165,737,712,162
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",119,106,,,13,,
"Profes., científicos e intelectuales (014)",3352,2826,,473,48,5,
"Técnicos de nivel medio y trab. asimilados (015)",2729,1986,,621,116,5,1
"Jefes y empleados de oficina (016)",1615,1596,,13,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",4619,1808,70,2441,127,173,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3629,41,111,3307,170,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",8894,,6684,2051,117,42,
"Obreros construc.,conf., papel, fab., instr. (020)",9858,702,3767,5221,109,59,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",11974,954,8643,1811,19,386,161
"Otra (022)",510,510,,,,,
"Ocupación no especificada (023)",1245,247,717,227,18,36,
"Mujeres (024)",26295,7765,7606,7844,286,1363,1431
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",45,41,,,4,,
"Profes., científicos e intelectuales (026)",3644,3438,,169,23,14,
"Técnicos de nivel medio y trab. asimilados (027)",1469,1225,,201,34,6,3
"Jefes y empleados de oficina (028)",1315,1297,,11,,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",5381,951,122,3483,116,705,4
"Agricult.trabaj. calif.agrop. y pesqueros (030)",801,4,2,754,41,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",4939,,4359,512,35,33,
"Obreros construc.,conf., papel, fab., instr. (032)",475,5,219,237,4,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",7340,591,2530,2273,23,499,1424
"Otra (034)",16,16,,,,,
"Ocupación no especificada (035)",870,197,374,204,6,89,
,,,,,,,
"URBANA (036)",67055,17770,23492,21769,937,1586,1501
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",154,139,,,15,,
"Profes., científicos e intelectuales (038)",6790,6073,,630,68,19,
"Técnicos de nivel medio y trab. asimilados (039)",4012,3047,,808,143,10,4
"Jefes y empleados de oficina (040)",2822,2785,,24,,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",9599,2595,175,5739,231,855,4
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2694,32,101,2400,161,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",13155,,10424,2513,143,75,
"Obreros construc.,conf., papel, fab., instr. (044)",9848,682,3717,5275,111,63,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",15487,1475,8060,3990,41,428,1493
"Otra (046)",518,518,,,,,
"Ocupación no especificada (047)",1976,424,1015,390,24,123,
"Hombres (048)",43031,10243,16888,14536,673,544,147
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",111,100,,,11,,
"Profes., científicos e intelectuales (050)",3250,2735,,465,45,5,
"Técnicos de nivel medio y trab. asimilados (051)",2592,1862,,612,112,5,1
"Jefes y empleados de oficina (052)",1537,1518,,13,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",4421,1684,65,2380,122,170,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2302,29,99,2044,130,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",8440,,6278,2011,109,42,
"Obreros construc.,conf., papel, fab., instr. (056)",9388,678,3507,5043,107,53,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",9327,898,6278,1758,19,228,146
"Otra (058)",502,502,,,,,
"Ocupación no especificada (059)",1161,237,661,210,18,35,
"Mujeres (060)",24024,7527,6604,7233,264,1042,1354
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",43,39,,,4,,
"Profes., científicos e intelectuales (062)",3540,3338,,165,23,14,
"Técnicos de nivel medio y trab. asimilados (063)",1420,1185,,196,31,5,3
"Jefes y empleados de oficina (064)",1285,1267,,11,,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",5178,911,110,3359,109,685,4
"Agricult.trabaj. calif.agrop. y pesqueros (066)",392,3,2,356,31,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",4715,,4146,502,34,33,
"Obreros construc.,conf., papel, fab., instr. (068)",460,4,210,232,4,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",6160,577,1782,2232,22,200,1347
"Otra (070)",16,16,,,,,
"Ocupación no especificada (071)",815,187,354,180,6,88,
,,,,,,,
"RURAL (072)",7784,771,4106,2240,86,489,92
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,8,,,2,,
"Profes., científicos e intelectuales (074)",206,191,,12,3,,
"Técnicos de nivel medio y trab. asimilados (075)",186,164,,14,7,1,
"Jefes y empleados de oficina (076)",108,108,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",401,164,17,185,12,23,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1736,13,12,1661,50,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",678,,619,50,9,,
"Obreros construc.,conf., papel, fab., instr. (080)",485,25,269,183,2,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",3827,70,3113,94,1,457,92
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",139,20,76,41,,2,
"Hombres (084)",5513,533,3104,1629,64,168,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,6,,,2,,
"Profes., científicos e intelectuales (086)",102,91,,8,3,,
"Técnicos de nivel medio y trab. asimilados (087)",137,124,,9,4,,
"Jefes y empleados de oficina (088)",78,78,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",198,124,5,61,5,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1327,12,12,1263,40,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",454,,406,40,8,,
"Obreros construc.,conf., papel, fab., instr. (092)",470,24,260,178,2,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2647,56,2365,53,,158,15
