"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PIURA (000)",661787,13814,196840,184136,131378,97137,38482
"Jefe o Jefa (001)",152486,,112,20808,54487,53527,23552
"Esposa(o) / compañera(o) (002)",103236,,125,22884,41971,30602,7654
"Hijo(a) / hijastro(a) (003)",300095,8913,156063,106014,23324,5622,159
"Yerno / nuera (004)",12432,,107,7773,3787,741,24
"Nieto(a) (005)",41969,3853,29614,7977,496,29,
"Padres / suegros (006)",5979,,,,103,1345,4531
"Otro(a) pariente (007)",37170,975,9963,14076,5554,4382,2220
"Trabajador(a) del hogar (008)",1459,,65,1058,214,96,26
"Pensionistas (009)",1204,,32,839,191,103,39
"Otro(a) no pariente (010)",5757,73,759,2707,1251,690,277
"Hombres (011)",324854,7022,100118,89560,62377,47168,18609
"Jefe o Jefa (012)",114633,,66,15826,42919,40009,15813
"Esposa(o) / compañera(o) (013)",4988,,82,1343,1743,1339,481
"Hijo(a) / hijastro(a) (014)",155075,4560,79568,56756,11610,2525,56
"Yerno / nuera (015)",5577,,35,2699,2319,507,17
"Nieto(a) (016)",21499,1926,15029,4277,250,17,
"Padres / suegros (017)",1632,,,,34,303,1295
"Otro(a) pariente (018)",18119,497,4963,7067,2759,2033,800
"Trabajador(a) del hogar (019)",52,,2,30,11,7,2
"Pensionistas (020)",717,,19,452,133,84,29
"Otro(a) no pariente (021)",2562,39,354,1110,599,344,116
"Mujeres (022)",336933,6792,96722,94576,69001,49969,19873
"Jefe o Jefa (023)",37853,,46,4982,11568,13518,7739
"Esposa(o) / compañera(o) (024)",98248,,43,21541,40228,29263,7173
"Hijo(a) / hijastro(a) (025)",145020,4353,76495,49258,11714,3097,103
"Yerno / nuera (026)",6855,,72,5074,1468,234,7
"Nieto(a) (027)",20470,1927,14585,3700,246,12,
"Padres / suegros (028)",4347,,,,69,1042,3236
"Otro(a) pariente (029)",19051,478,5000,7009,2795,2349,1420
"Trabajador(a) del hogar (030)",1407,,63,1028,203,89,24
"Pensionistas (031)",487,,13,387,58,19,10
"Otro(a) no pariente (032)",3195,34,405,1597,652,346,161
,,,,,,,
"URBANA (033)",569042,11581,165885,158743,114372,85351,33110
"Jefe o Jefa (034)",131711,,105,17571,46953,47036,20046
"Esposa(o) / compañera(o) (035)",86722,,112,18350,35640,26271,6349
"Hijo(a) / hijastro(a) (036)",254741,7272,129710,91408,21048,5159,144
"Yerno / nuera (037)",11023,,84,6733,3493,690,23
"Nieto(a) (038)",37503,3430,26437,7163,449,24,
"Padres / suegros (039)",5553,,,,94,1266,4193
"Otro(a) pariente (040)",33705,810,8621,13049,5120,4062,2043
"Trabajador(a) del hogar (041)",1437,,64,1042,212,94,25
"Pensionistas (042)",1152,,31,811,175,100,35
"Otro(a) no pariente (043)",5495,69,721,2616,1188,649,252
"Hombres (044)",276368,5872,84299,76400,53487,40779,15531
"Jefe o Jefa (045)",96260,,63,12899,36029,34260,13009
"Esposa(o) / compañera(o) (046)",4638,,77,1261,1615,1236,449
"Hijo(a) / hijastro(a) (047)",130349,3703,66083,48016,10236,2259,52
"Yerno / nuera (048)",5133,,28,2450,2165,474,16
"Nieto(a) (049)",19176,1720,13420,3803,220,13,
"Padres / suegros (050)",1477,,,,30,278,1169
"Otro(a) pariente (051)",16228,412,4273,6468,2508,1856,711
"Trabajador(a) del hogar (052)",52,,2,30,11,7,2
"Pensionistas (053)",667,,18,426,117,81,25
"Otro(a) no pariente (054)",2388,37,335,1047,556,315,98
"Mujeres (055)",292674,5709,81586,82343,60885,44572,17579
"Jefe o Jefa (056)",35451,,42,4672,10924,12776,7037
"Esposa(o) / compañera(o) (057)",82084,,35,17089,34025,25035,5900
"Hijo(a) / hijastro(a) (058)",124392,3569,63627,43392,10812,2900,92
"Yerno / nuera (059)",5890,,56,4283,1328,216,7
"Nieto(a) (060)",18327,1710,13017,3360,229,11,
"Padres / suegros (061)",4076,,,,64,988,3024
"Otro(a) pariente (062)",17477,398,4348,6581,2612,2206,1332
"Trabajador(a) del hogar (063)",1385,,62,1012,201,87,23
"Pensionistas (064)",485,,13,385,58,19,10
"Otro(a) no pariente (065)",3107,32,386,1569,632,334,154
,,,,,,,
"RURAL (066)",92745,2233,30955,25393,17006,11786,5372
"Jefe o Jefa (067)",20775,,7,3237,7534,6491,3506
"Esposa(o) / compañera(o) (068)",16514,,13,4534,6331,4331,1305
"Hijo(a) / hijastro(a) (069)",45354,1641,26353,14606,2276,463,15
"Yerno / nuera (070)",1409,,23,1040,294,51,1
"Nieto(a) (071)",4466,423,3177,814,47,5,
"Padres / suegros (072)",426,,,,9,79,338
"Otro(a) pariente (073)",3465,165,1342,1027,434,320,177
"Trabajador(a) del hogar (074)",22,,1,16,2,2,1
"Pensionistas (075)",52,,1,28,16,3,4
"Otro(a) no pariente (076)",262,4,38,91,63,41,25
"Hombres (077)",48486,1150,15819,13160,8890,6389,3078
"Jefe o Jefa (078)",18373,,3,2927,6890,5749,2804
"Esposa(o) / compañera(o) (079)",350,,5,82,128,103,32
"Hijo(a) / hijastro(a) (080)",24726,857,13485,8740,1374,266,4
"Yerno / nuera (081)",444,,7,249,154,33,1
"Nieto(a) (082)",2323,206,1609,474,30,4,
"Padres / suegros (083)",155,,,,4,25,126
"Otro(a) pariente (084)",1891,85,690,599,251,177,89
"Pensionistas (086)",50,,1,26,16,3,4
"Otro(a) no pariente (087)",174,2,19,63,43,29,18
"Mujeres (088)",44259,1083,15136,12233,8116,5397,2294
"Jefe o Jefa (089)",2402,,4,310,644,742,702
"Esposa(o) / compañera(o) (090)",16164,,8,4452,6203,4228,1273
"Hijo(a) / hijastro(a) (091)",20628,784,12868,5866,902,197,11
