"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",9901,9330,58,1620,1442,1313,2132,1471,877,417,571,39405
"De 12 a 14 años (001)",76,20,1,17,2,,,,,,56,21
"De 15 a 19 años (002)",1004,875,11,602,186,60,16,,,,129,1218
"De 20 a 24 años (003)",1785,1655,11,499,522,353,233,37,,,130,3833
"De 25 a 29 años (004)",1683,1592,8,216,326,355,487,170,30,,91,5416
"De 30 a 34 años (005)",1236,1202,12,85,133,186,428,268,72,18,34,5343
"De 35 a 39 años (006)",1256,1231,5,59,95,130,349,349,181,63,25,6657
"De 40 a 44 años (007)",755,741,2,30,54,65,186,197,138,69,14,4355
"De 45 a 49 años (008)",672,659,2,31,47,61,141,147,152,78,13,4046
"De 50 y más años (009)",1434,1355,6,81,77,103,292,303,304,189,79,8516
"Conviviente (010)",6881,6618,42,1112,1112,1011,1574,1012,528,227,263,26827
"De 12 a 14 años (011)",55,13,1,11,1,,,,,,42,13
"De 15 a 19 años (012)",797,685,9,446,161,55,14,,,,112,989
"De 20 a 24 años (013)",1404,1363,8,350,441,322,212,30,,,41,3294
"De 25 a 29 años (014)",1332,1312,8,140,271,295,419,150,29,,20,4615
"De 30 a 34 años (015)",926,916,7,52,86,132,335,225,63,16,10,4273
"De 35 a 39 años (016)",925,915,4,32,60,86,259,273,150,51,10,5162
"De 40 a 44 años (017)",481,473,2,20,28,40,119,130,90,44,8,2806
"De 45 a 49 años (018)",416,411,,23,33,40,86,90,91,48,5,2470
"De 50 y más años (019)",545,530,3,38,31,41,130,114,105,68,15,3205
"Separado(a) (020)",343,324,1,96,49,43,68,40,22,5,19,1116
"De 12 a 14 años (021)",3,,,,,,,,,,3,
"De 15 a 19 años (022)",47,43,,37,6,,,,,,4,49
