"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANDIA (000)",14208,13689,83,2779,2743,2377,3340,1705,571,91,519,46761
"De 12 a 14 años (001)",29,12,1,8,3,,,,,,17,14
"De 15 a 19 años (002)",423,382,6,338,35,3,,,,,41,417
"De 20 a 24 años (003)",1559,1372,11,833,399,108,19,2,,,187,2048
"De 25 a 29 años (004)",2071,1930,14,694,660,371,175,14,2,,141,3970
"De 30 a 34 años (005)",1846,1789,7,293,565,442,414,62,6,,57,4954
"De 35 a 39 años (006)",1901,1877,5,174,417,457,606,178,35,5,24,6511
"De 40 a 44 años (007)",1562,1550,5,106,195,294,570,284,83,13,12,6550
"De 45 a 49 años (008)",1262,1254,7,79,130,193,437,292,105,11,8,5748
"De 50 y más años (009)",3555,3523,27,254,339,509,1119,873,340,62,32,16549
"Sin nivel (010)",3198,3174,25,233,337,497,1030,733,271,48,24,14471
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",6,6,,3,2,1,,,,,,10
"De 20 a 24 años (013)",18,15,,7,6,,2,,,,3,29
"De 25 a 29 años (014)",46,46,1,8,11,14,9,3,,,,131
"De 30 a 34 años (015)",101,101,1,8,26,22,32,12,,,,343
"De 35 a 39 años (016)",166,164,1,11,24,39,63,19,6,1,2,643
"De 40 a 44 años (017)",277,274,2,14,32,36,96,70,19,5,3,1267
"De 45 a 49 años (018)",309,309,1,17,21,41,98,88,39,4,,1558
"De 50 y más años (019)",2274,2258,19,165,214,344,730,541,207,38,16,10488
"Educacion Inicial (020)",12,12,,2,4,4,2,,,,,31
"De 20 a 24 años (023)",1,1,,,1,,,,,,,2
"De 25 a 29 años (024)",4,4,,2,,1,1,,,,,9
