"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TRUJILLO (000)",316229,198882,35640,35031,46676
"Sin nivel (001)",8786,7399,591,355,441
"Educación inicial (002)",350,252,39,33,26
"Primaria (003)",54546,42532,5354,3322,3338
"Secundaria (004)",108238,75378,12543,9439,10878
"Superior no univ. incompleta (005)",23385,15037,2757,2550,3041
"Superior no univ. completa (006)",39950,22004,4700,5607,7639
"Superior univ. incompleta (007)",21923,12644,2856,2905,3518
"Superior univ. completa (008)",59051,23636,6800,10820,17795
"De 06 a 14 años (010)",3308,2708,397,152,51
"Sin nivel (011)",74,60,9,3,2
"Educación inicial (012)",36,30,6,,
"Primaria (013)",1880,1566,216,78,20
"Secundaria (014)",1318,1052,166,71,29
"De 15 a 29 años (020)",109670,65771,15830,13629,14440
"Sin nivel (021)",1154,907,109,76,62
"Educación inicial (022)",193,141,21,15,16
"Primaria (023)",14448,10366,1913,1170,999
"Secundaria (024)",46796,30844,6698,4733,4521
"Superior no univ. incompleta (025)",10758,6601,1549,1306,1302
"Superior no univ. completa (026)",12188,6291,1885,1907,2105
"Superior univ. incompleta (027)",10635,5787,1614,1565,1669
"Superior univ. completa (028)",13498,4834,2041,2857,3766
"De 30 a 44 años (030)",114569,69060,12569,13950,18990
"Sin nivel (031)",2772,2193,246,132,201
"Educación inicial (032)",121,81,12,18,10
"Primaria (033)",16263,12098,1759,1161,1245
"Secundaria (034)",36291,25288,3840,3143,4020
"Superior no univ. incompleta (035)",8262,5396,845,905,1116
"Superior no univ. completa (036)",17481,9575,2024,2592,3290
"Superior univ. incompleta (037)",6913,4021,799,907,1186
"Superior univ. completa (038)",26466,10408,3044,5092,7922
"De 45 a 64 años (040)",77366,51964,6203,6820,12379
"Sin nivel (041)",3410,2973,180,119,138
"Primaria (043)",17236,14290,1250,788,908
"Secundaria (044)",21721,16445,1714,1400,2162
"Superior no univ. incompleta (045)",4037,2780,333,322,602
"Superior no univ. completa (046)",9622,5630,742,1066,2184
"Superior univ. incompleta (047)",4024,2558,419,405,642
"Superior univ. completa (048)",17316,7288,1565,2720,5743
"De 65 y más años (050)",11316,9379,641,480,816
"Sin nivel (051)",1376,1266,47,25,38
"Primaria (053)",4719,4212,216,125,166
