"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia CAJAMARCA (000)",316152,155571,160581,174728,85047,89681,141424,70524,70900
"Menores de 1 año (001)",6300,3150,3150,3379,1719,1660,2921,1431,1490
"Menores de 1 mes (002)",487,236,251,262,121,141,225,115,110
"De 1 a 11 meses (003)",5813,2914,2899,3117,1598,1519,2696,1316,1380
"De 1 a 4 años (004)",26924,13632,13292,13915,7126,6789,13009,6506,6503
"1 año (005)",6695,3440,3255,3482,1798,1684,3213,1642,1571
"2 años (006)",6762,3448,3314,3488,1819,1669,3274,1629,1645
"3 años (007)",6818,3404,3414,3515,1781,1734,3303,1623,1680
"4 años (008)",6649,3340,3309,3430,1728,1702,3219,1612,1607
"De 5 a 9 años (009)",30553,15322,15231,15544,7775,7769,15009,7547,7462
"5 años (010)",6128,3099,3029,3183,1615,1568,2945,1484,1461
"6 años (011)",5700,2810,2890,2988,1478,1510,2712,1332,1380
"7 años (012)",6475,3276,3199,3255,1647,1608,3220,1629,1591
"8 años (013)",6153,3073,3080,3059,1511,1548,3094,1562,1532
"9 años (014)",6097,3064,3033,3059,1524,1535,3038,1540,1498
"De 10 a 14 años (015)",34387,17535,16852,16247,8220,8027,18140,9315,8825
"10 años (016)",6753,3398,3355,3160,1588,1572,3593,1810,1783
"11 años (017)",6493,3302,3191,3223,1618,1605,3270,1684,1586
"12 años (018)",7185,3709,3476,3260,1669,1591,3925,2040,1885
"13 años (019)",6982,3501,3481,3294,1636,1658,3688,1865,1823
"14 años (020)",6974,3625,3349,3310,1709,1601,3664,1916,1748
"De 15 a 19 años (021)",33374,16542,16832,18120,8823,9297,15254,7719,7535
"15 años (022)",6810,3410,3400,3420,1672,1748,3390,1738,1652
"16 años (023)",6265,3101,3164,3300,1617,1683,2965,1484,1481
"17 años (024)",6676,3278,3398,3479,1651,1828,3197,1627,1570
"18 años (025)",6939,3467,3472,3952,1934,2018,2987,1533,1454
"19 años (026)",6684,3286,3398,3969,1949,2020,2715,1337,1378
"De 20 a 24 años (027)",33330,16313,17017,19776,9559,10217,13554,6754,6800
"20 años (028)",7356,3604,3752,4203,2039,2164,3153,1565,1588
"21 años (029)",5703,2767,2936,3456,1652,1804,2247,1115,1132
"22 años (030)",6924,3445,3479,4032,2024,2008,2892,1421,1471
"23 años (031)",6675,3243,3432,4053,1910,2143,2622,1333,1289
"24 años (032)",6672,3254,3418,4032,1934,2098,2640,1320,1320
"De 25 a 29 años (033)",28461,13921,14540,17350,8361,8989,11111,5560,5551
"25 años (034)",6606,3160,3446,3910,1831,2079,2696,1329,1367
"26 años (035)",5469,2655,2814,3303,1572,1731,2166,1083,1083
"27 años (036)",6001,2955,3046,3715,1823,1892,2286,1132,1154
