"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ESPINAR (000)",58916,3138,8122,8384,6188,9430,7695,11929,4030
"Sabe leer y escribir (001)",48359,,6395,8359,6153,9281,7362,9300,1509
"No sabe leer y escribir (002)",10557,3138,1727,25,35,149,333,2629,2521
"Hombres (004)",29504,1563,4175,4313,3169,4539,3765,6122,1858
"Sabe leer y escribir (005)",25899,,3268,4300,3154,4508,3706,5724,1239
"No sabe leer y escribir (006)",3605,1563,907,13,15,31,59,398,619
"Mujeres (008)",29412,1575,3947,4071,3019,4891,3930,5807,2172
"Sabe leer y escribir (009)",22460,,3127,4059,2999,4773,3656,3576,270
"No sabe leer y escribir (010)",6952,1575,820,12,20,118,274,2231,1902
,,,,,,,,,
"URBANA (012)",26611,1385,3718,3753,3013,5061,4036,4660,985
"Sabe leer y escribir (013)",23285,,3049,3744,3006,5022,3936,4095,433
"No sabe leer y escribir (014)",3326,1385,669,9,7,39,100,565,552
"Hombres (016)",13468,686,1921,1973,1492,2468,1971,2557,400
"Sabe leer y escribir (017)",12221,,1552,1967,1490,2460,1956,2487,309
"No sabe leer y escribir (018)",1247,686,369,6,2,8,15,70,91
"Mujeres (020)",13143,699,1797,1780,1521,2593,2065,2103,585
"Sabe leer y escribir (021)",11064,,1497,1777,1516,2562,1980,1608,124
"No sabe leer y escribir (022)",2079,699,300,3,5,31,85,495,461
,,,,,,,,,
"RURAL (024)",32305,1753,4404,4631,3175,4369,3659,7269,3045
"Sabe leer y escribir (025)",25074,,3346,4615,3147,4259,3426,5205,1076
"No sabe leer y escribir (026)",7231,1753,1058,16,28,110,233,2064,1969
"Hombres (028)",16036,877,2254,2340,1677,2071,1794,3565,1458
"Sabe leer y escribir (029)",13678,,1716,2333,1664,2048,1750,3237,930
"No sabe leer y escribir (030)",2358,877,538,7,13,23,44,328,528
"Mujeres (032)",16269,876,2150,2291,1498,2298,1865,3704,1587
"Sabe leer y escribir (033)",11396,,1630,2282,1483,2211,1676,1968,146
"No sabe leer y escribir (034)",4873,876,520,9,15,87,189,1736,1441
