"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUAMANGA (000)",55557,284,947,2455,5350,10324,20906,15291
"De 12 a 14 años (001)",96,,,,,,5,91
"De 15 a 19 años (002)",1558,,,,,,956,602
"De 20 a 24 años (003)",6170,,,,,24,3520,2626
"De 25 a 29 años (004)",7616,,,,,366,4721,2529
"De 30 a 34 años (005)",7531,,,,2,1077,4640,1812
"De 35 a 39 años (006)",6737,,,,55,1780,3602,1300
"De 40 a 44 años (007)",5847,,,,285,2189,2321,1052
"De 45 a 49 años (008)",4546,,,14,636,2157,965,774
"De 50 y más años (009)",15456,284,947,2441,4372,2731,176,4505
"Sin nivel (010)",12679,200,632,1299,2117,2392,2313,3726
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",51,,,,,,32,19
"De 20 a 24 años (013)",159,,,,,,92,67
"De 25 a 29 años (014)",383,,,,,18,271,94
"De 30 a 34 años (015)",636,,,,,63,433,140
"De 35 a 39 años (016)",811,,,,3,177,479,152
"De 40 a 44 años (017)",1115,,,,29,345,543,198
"De 45 a 49 años (018)",1178,,,3,89,542,376,168
"De 50 y más años (019)",8343,200,632,1296,1996,1247,87,2885
"Educacion Inicial (020)",149,,,,,11,98,40
"De 15 a 19 años (022)",9,,,,,,3,6
"De 20 a 24 años (023)",24,,,,,,15,9
"De 25 a 29 años (024)",48,,,,,2,35,11
"De 30 a 34 años (025)",45,,,,,5,29,11
"De 35 a 39 años (026)",23,,,,,4,16,3
"Primaria (030)",16705,49,183,584,1500,3516,7324,3549
"De 12 a 14 años (031)",48,,,,,,3,45
"De 15 a 19 años (032)",535,,,,,,351,184
"De 20 a 24 años (033)",1753,,,,,4,1199,550
"De 25 a 29 años (034)",2279,,,,,108,1636,535
"De 30 a 34 años (035)",2442,,,,1,395,1592,454
"De 35 a 39 años (036)",2304,,,,15,694,1243,352
"De 40 a 44 años (037)",2076,,,,87,784,894,311
"De 45 a 49 años (038)",1502,,,4,195,714,354,235
"De 50 y más años (039)",3766,49,183,580,1202,817,52,883
"Secundaria (040)",12094,19,59,235,732,1907,5904,3238
"De 12 a 14 años (041)",45,,,,,,2,43
"De 15 a 19 años (042)",880,,,,,,525,355
"De 20 a 24 años (043)",2595,,,,,11,1642,942
"De 25 a 29 años (044)",2304,,,,,135,1505,664
"De 30 a 34 años (045)",1779,,,,,311,1082,386
"De 35 a 39 años (046)",1382,,,,17,425,696,244
"De 40 a 44 años (047)",1022,,,,86,413,332,191
"De 45 a 49 años (048)",725,,,5,161,337,101,121
"De 50 y más años (049)",1362,19,59,230,468,275,19,292
